Earnings Date,Ticker,Report,Earnings Average,Earnings Low,Earnings High,Revenue Average,Revenue Low,Revenue High
2020-06-16,GRPN,before,-1.92,-3.8,-0.6,372390000,275700000,495000000
2020-06-16,HRB,after,2.61,0.1,3.47,1738330000,1632710000,1815400000
2020-06-16,ORCL,after,1.17,1,1.27,10732100000,9740260000,11185900000
