Earnings Date,Ticker,Report,Earnings Average,Earnings Low,Earnings High,Revenue Average,Revenue Low,Revenue High
2020-06-25,NKE,after,0.09,-0.48,0.46,7516370000,4789000000,9333000000
2020-06-26,WUBA,after,-0.08,-0.27,0.08,313440000,307050000,318230000
