Earnings Date,Ticker,Report,Earnings Average,Earnings Low,Earnings High,Revenue Average,Revenue Low,Revenue High
2020-06-09,AMC,before,-1.52,-1.95,-0.82,961450000,885800000,1117080000
2020-06-10,GES,after,-0.88,-1.77,-0.49,313340000,274000000,362380000
2020-06-11,LULU,after,0.25,-0.21,0.59,676760000,552400000,810900000
