Earnings Date,Ticker,Report,Earnings Average,Earnings Low,Earnings High,Revenue Average,Revenue Low,Revenue High
2020-05-18,BIDU,after,0.57,0.12,1.09,3102640000,3058930000,3154150000
2020-05-18,BILI,after,-0.16,-0.18,-0.13,308620000,301270000,312460000
2020-05-18,SOHU,before,-0.72,-0.76,-0.65,427850000,424000000,431700000
2020-05-18,TRVG,before,0,-0.04,0.03,161810000,139100000,197200000
2020-05-19,IQ,after,-0.56,-0.63,-0.46,1027940000,998530000,1039160000
2020-05-19,NTES,after,4.01,3.45,4.61,2207000000,2022170000,2323950000
2020-05-19,SINA,before,0.07,-0.08,0.22,385620000,368140000,424000000
2020-05-19,WB,after,0.31,0.25,0.37,312520000,299000000,321000000
2020-05-19,WMT,before,1.17,1.09,1.38,130315000000,125214000000,140855000000
2020-05-20,ADI,before,1.04,0.62,1.12,1329900000,1251700000,1360000000
2020-05-20,SNPS,after,0.98,0.95,1.01,837280000,830100000,850090000
2020-05-20,YY,before,0.56,0.3,0.72,970620000,963880000,997250000
2020-05-21,A,after,0.61,0.37,0.75,1213680000,956000000,1350000000
2020-05-21,BBY,before,0.6,0.09,1.05,8351440000,7711600000,9249040000
2020-05-21,HPE,after,0.3,0.15,0.41,6317000000,5307000000,6907000000
2020-05-21,INTU,after,5.48,4.16,6.22,3344840000,2807900000,3612500000
2020-05-21,NVDA,after,1.68,1.53,1.76,2977720000,2710000000,3016000000
2020-05-21,PANW,after,0.93,0.31,1.01,829480000,726860000,850890000
2020-05-22,BABA,before,0.87,0.42,1.17,15201200000,14613100000,16035200000
2020-05-22,PDD,before,-0.27,-0.41,-0.04,704200000,356770000,958820000
