Earnings Date,Ticker,Report,Earnings Average,Earnings Low,Earnings High,Revenue Average,Revenue Low,Revenue High
2020-05-26,DOYU,before,0.08,0.06,0.09,296570000,280160000,305220000
2020-05-27,ADSK,after,0.81,0.64,0.86,879240000,819190000,900700000
2020-05-27,NTAP,after,1.15,0.57,1.39,1432430000,1250000000,1550000000
2020-05-27,UVV,after,,,,,,
2020-05-27,WDAY,after,0.47,0.2,0.65,1004060000,965800000,1021000000
2020-05-28,COST,after,2.04,1.7,2.34,37520400000,35033000000,40307000000
2020-05-28,DELL,after,1.01,0.19,1.41,20833200000,16479000000,22385000000
2020-05-28,DLTR,before,0.91,0.69,1.1,6105340000,5936500000,6306300000
2020-05-28,JWN,after,-0.95,-2.26,0.26,2414950000,2001690000,3531000000
2020-05-28,MOMO,before,0.43,0.4,0.48,493940000,488430000,501600000
2020-05-28,NIO,before,-0.26,-0.32,-0.19,234100000,170760000,398390000
2020-05-28,VMW,after,1.2,0.86,1.34,2651930000,2409400000,2746000000
