Earnings Date,Ticker,Report,Earnings Average,Earnings Low,Earnings High,Revenue Average,Revenue Low,Revenue High
2020-06-02,BBW,before,0.08,0.05,0.12,81380000,77870000,84900000
2020-06-02,ZM,after,0.09,-0.16,0.11,202040000,189200000,227350000
2020-06-04,MDB,after,-0.24,-0.28,-0.2,119400000,118000000,121000000
2020-06-04,WORK,after,-0.06,-0.07,-0.04,187650000,176550000,202000000
