Earnings Date,Ticker,Report,Earnings Average,Earnings Low,Earnings High,Revenue Average,Revenue Low,Revenue High
2020-07-07,LEVI,after,-0.45,-0.62,-0.33,574130000,393000000,710600000
2020-07-09,WDFC,after,1.07,0.95,1.2,108100000,108100000,108100000
