Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-05-11,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,25.19B,33.54,81.27,1.96%,1617732
AA,2020-05-11,Alcoa Corporation,Basic Materials,Aluminum,USA,1.45B,-,7.77,-3.72%,8307696
AAL,2020-05-11,American Airlines Group Inc.,Industrials,Airlines,USA,4.30B,-,10.1,-0.39%,48314827
AAN,2020-05-11,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.31B,-,34.51,-3.55%,929376
AAON,2020-05-11,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.50B,47.49,48.44,-1.02%,330063
AAP,2020-05-11,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,8.74B,18.43,125.94,0.87%,839062
AAPL,2020-05-11,Apple Inc.,Technology,Consumer Electronics,USA,1373.48B,24.70,315.01,1.57%,36296738
AAT,2020-05-11,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.56B,33.93,26.06,-6.33%,324468
AAWW,2020-05-11,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,978.80M,-,37.85,-2.15%,613397
AAXN,2020-05-11,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,4.14B,-,84.92,-1.40%,1357110
AB,2020-05-11,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.18B,8.55,22.51,-1.27%,242463
ABB,2020-05-11,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,38.84B,40.29,18.29,-0.22%,1331371
ABBV,2020-05-11,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,130.20B,16.64,87.9,4.69%,18934797
ABC,2020-05-11,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,18.80B,11.94,90.64,2.89%,1261515
ABCB,2020-05-11,Ameris Bancorp,Financial,Banks - Regional,USA,1.52B,9.55,21.82,-6.95%,625166
ABEV,2020-05-11,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,32.88B,11.87,2.09,-2.79%,21379491
ABG,2020-05-11,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,1.28B,7.88,66.78,-3.94%,225582
ABM,2020-05-11,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.25B,15.83,33.7,0.60%,446198
ABMD,2020-05-11,"Abiomed, Inc.",Healthcare,Medical Devices,USA,8.82B,43.97,194.61,4.03%,514828
ABR,2020-05-11,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,772.22M,5.51,6.97,-7.19%,3619637
ABT,2020-05-11,Abbott Laboratories,Healthcare,Medical Devices,USA,170.46B,48.20,96.07,2.53%,7210237
ABTX,2020-05-11,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,452.65M,11.37,23.49,-2.65%,112979
AC,2020-05-11,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,787.67M,19.46,33.82,-4.27%,35563
ACA,2020-05-11,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,1.61B,14.01,33.65,3.19%,333169
ACAD,2020-05-11,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,7.72B,-,50.89,0.34%,1567570
ACAM,2020-05-11,Acamar Partners Acquisition Corp.,Industrials,Conglomerates,USA,380.19M,110.44,10.05,-0.15%,186
ACB,2020-05-11,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,8.66B,34.31,7.41,-8.06%,5034654
