Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-06-02,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,27.99B,41.44,90.29,0.42%,1659875
AA,2020-06-02,Alcoa Corporation,Basic Materials,Aluminum,USA,1.90B,-,9.92,4.53%,6242005
AAL,2020-06-02,American Airlines Group Inc.,Industrials,Airlines,USA,4.96B,-,11.22,0.99%,48663626
AAN,2020-06-02,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.57B,-,38.44,2.97%,758117
AAON,2020-06-02,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.83B,44.29,54.26,-0.02%,247255
AAP,2020-06-02,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.65B,25.42,139.49,-0.21%,536621
AAPL,2020-06-02,Apple Inc.,Technology,Consumer Electronics,USA,1402.83B,25.35,323.34,0.46%,21754815
AAT,2020-06-02,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.68B,35.13,26.98,1.47%,373422
AAWW,2020-06-02,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.18B,-,45.44,11.48%,1060820
AAXN,2020-06-02,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,5.83B,-,97.85,9.03%,3631242
AB,2020-06-02,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.57B,9.88,26.0,1.76%,318774
ABB,2020-06-02,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,44.83B,44.96,20.41,2.87%,2237103
ABBV,2020-06-02,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,155.87B,16.11,91.04,0.37%,9261811
ABC,2020-06-02,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,19.87B,13.00,98.66,3.69%,2071668
ABCB,2020-06-02,Ameris Bancorp,Financial,Banks - Regional,USA,1.68B,10.38,23.71,-1.45%,286049
ABEV,2020-06-02,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,39.49B,14.26,2.51,5.91%,43327092
ABG,2020-06-02,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,1.51B,8.76,74.25,2.06%,154441
