Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-05-12,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,24.75B,32.96,79.85,-1.75%,2202441
AA,2020-05-12,Alcoa Corporation,Basic Materials,Aluminum,USA,1.36B,-,7.29,-6.18%,8595584
AAL,2020-05-12,American Airlines Group Inc.,Industrials,Airlines,USA,4.11B,-,9.65,-4.46%,46149555
AAN,2020-05-12,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.20B,-,32.9,-4.67%,961939
AAON,2020-05-12,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.46B,46.60,47.53,-1.87%,245860
AAP,2020-05-12,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,8.64B,18.22,124.5,-1.14%,978493
AAPL,2020-05-12,Apple Inc.,Technology,Consumer Electronics,USA,1357.78B,24.41,311.41,-1.14%,39772294
AAT,2020-05-12,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.49B,32.59,25.03,-3.95%,418767
AAWW,2020-05-12,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,958.37M,-,37.06,-2.09%,601205
AAXN,2020-05-12,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,4.07B,-,83.48,-1.70%,984631
AB,2020-05-12,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.08B,8.15,21.44,-4.75%,342391
ABB,2020-05-12,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,38.35B,39.78,18.06,-1.26%,1547908
ABBV,2020-05-12,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,133.99B,17.13,90.46,2.91%,22191809
ABC,2020-05-12,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,18.37B,11.67,88.58,-2.27%,1131745
ABCB,2020-05-12,Ameris Bancorp,Financial,Banks - Regional,USA,1.40B,8.83,20.16,-7.61%,453501
ABEV,2020-05-12,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,31.78B,11.48,2.02,-3.35%,24731251
