Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-03-13,1,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,20.11B,26.17,69.2,9.11%,3144909
AA,2020-03-13,2,Alcoa Corporation,Basic Materials,Aluminum,USA,1.51B,-,8.0,6.52%,7240117
AAAU,2020-03-13,3,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,15.19,-3.06%,530202
AACG,2020-03-13,4,ATA Creativity Global,Services,Education & Training Services,China,24.42M,-,0.86,-4.76%,16376
AADR,2020-03-13,5,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,40.9,7.15%,14341
AAL,2020-03-13,6,American Airlines Group Inc.,Services,Major Airlines,USA,5.76B,3.53,14.31,6.39%,57781759
AAMC,2020-03-13,7,Altisource Asset Management Corporation,Financial,Asset Management,USA,27.97M,-,15.93,-8.87%,1527
AAME,2020-03-13,8,Atlantic American Corporation,Financial,Life Insurance,USA,52.01M,-,2.5,-0.79%,1647
AAN,2020-03-13,9,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,1.91B,66.89,30.13,8.54%,1451511
AAOI,2020-03-13,10,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,118.20M,-,6.11,7.57%,985020
AAON,2020-03-13,11,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.14B,40.46,52.1,26.24%,591788
AAP,2020-03-13,12,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,7.58B,15.97,113.69,4.14%,1244730
AAPL,2020-03-13,13,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1100.74B,19.60,277.97,11.98%,90196501
AAT,2020-03-13,14,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1.87B,36.00,33.67,10.68%,672601
AAU,2020-03-13,15,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,33.48M,-,0.28,-3.38%,564856
AAWW,2020-03-13,16,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,445.34M,-,17.9,9.05%,1518168
AAXJ,2020-03-13,17,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,62.52,6.27%,2631298
AAXN,2020-03-13,18,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,3.41B,4363.08,62.43,10.07%,996466
AB,2020-03-13,19,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.26B,9.07,24.16,7.09%,1214735
ABB,2020-03-13,20,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,37.22B,35.88,17.62,4.69%,3149048
ABBV,2020-03-13,21,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,118.84B,14.89,85.37,8.60%,21611177
ABC,2020-03-13,22,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,16.80B,26.12,90.0,11.82%,2760509
ABCB,2020-03-13,23,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1.77B,8.46,25.69,6.64%,1119165
ABEO,2020-03-13,24,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,158.69M,-,1.74,0.58%,1524112
ABEQ,2020-03-13,25,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,20.86,3.51%,197216
ABEV,2020-03-13,26,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,41.06B,14.83,2.64,1.15%,40125463
ABG,2020-03-13,27,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.15B,6.13,55.11,-6.12%,313773
ABIO,2020-03-13,28,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,4.81M,-,2.7,-10.30%,43801
ABM,2020-03-13,29,ABM Industries Incorporated,Services,Business Services,USA,1.67B,12.65,27.28,12.87%,610594
ABMD,2020-03-13,30,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,6.07B,25.69,142.82,4.27%,1044525
ABR,2020-03-13,31,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,941.88M,6.62,8.5,1.55%,2594662
ABT,2020-03-13,32,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,132.14B,36.98,81.65,9.25%,17455506
ABTX,2020-03-13,33,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,533.74M,9.96,26.52,8.47%,153085
ABUS,2020-03-13,34,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,144.91M,-,2.12,-8.23%,284857
AC,2020-03-13,35,"Associated Capital Group, Inc.",Financial,Asset Management,USA,795.99M,19.79,35.59,3.73%,19828
ACA,2020-03-13,36,"Arcosa, Inc.",Industrial Goods,Farm & Construction Machinery,USA,1.66B,14.20,37.18,12.91%,445095
ACAD,2020-03-13,37,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,5.82B,-,35.63,0.68%,1775273
ACAM,2020-03-13,38,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,305.57M,-,9.96,-0.40%,1755
ACAMU,2020-03-13,39,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,694.95M,-,10.25,0.00%,0
ACB,2020-03-13,40,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,818.40M,3.24,0.77,9.98%,24430152
ACBI,2020-03-13,41,"Atlantic Capital Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,314.78M,11.41,14.62,6.40%,106704
ACC,2020-03-13,42,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,4.77B,57.97,37.83,8.58%,2333114
ACCO,2020-03-13,43,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,595.47M,5.72,5.45,-11.09%,1422999
ACEL,2020-03-13,44,"Accel Entertainment, Inc.",Services,Gaming Activities,USA,666.41M,-,8.7,1.16%,218654
ACER,2020-03-13,45,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,27.74M,-,2.87,5.51%,48936
ACES,2020-03-13,46,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,29.75,4.31%,45701
ACGL,2020-03-13,47,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,12.62B,7.92,32.77,6.81%,3177094
ACGLO,2020-03-13,48,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,9.27B,5.95,23.07,0.26%,54181
ACGLP,2020-03-13,49,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,9.14B,5.86,22.75,0.31%,58997
ACH,2020-03-13,50,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,6.04B,68.48,5.85,8.13%,89471
ACHC,2020-03-13,51,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,1.80B,15.79,21.82,11.44%,1049345
ACHV,2020-03-13,52,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,7.53M,-,0.31,-11.79%,1170008
ACIA,2020-03-13,53,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.81B,85.10,66.99,2.49%,1137803
ACIO,2020-03-13,54,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,24.36,-0.49%,24479
ACIU,2020-03-13,55,AC Immune SA,Healthcare,Biotechnology,Switzerland,355.55M,6.37,4.67,-5.27%,181660
ACIW,2020-03-13,56,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,2.91B,45.26,26.72,5.43%,1283843
ACLS,2020-03-13,57,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,623.78M,37.99,20.21,5.98%,483099
ACM,2020-03-13,58,AECOM,Services,Technical Services,USA,5.16B,-,33.4,8.27%,2437710
ACMR,2020-03-13,59,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,469.77M,25.66,22.87,-2.39%,581690
ACN,2020-03-13,60,Accenture plc,Technology,Information Technology Services,Ireland,102.34B,20.35,166.51,9.17%,4928662
ACNB,2020-03-13,61,ACNB Corporation,Financial,Regional - Southwest Banks,USA,185.89M,6.18,24.98,19.46%,27977
ACOR,2020-03-13,62,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,40.47M,-,0.87,2.35%,1100655
ACP,2020-03-13,63,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,United Kingdom,141.20M,-,8.65,6.79%,164089
ACRE,2020-03-13,64,Ares Commercial Real Estate Corporation,Financial,Mortgage Investment,USA,384.77M,8.81,12.06,6.73%,766954
ACRS,2020-03-13,65,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,44.78M,-,0.93,-10.81%,333489
ACRX,2020-03-13,66,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment,USA,79.27M,-,1.03,-0.96%,1316453
ACSG,2020-03-13,67,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Financial,Exchange Traded Fund,USA,-,-,22.0,5.48%,2
ACSI,2020-03-13,68,American Customer Satisfaction ETF,Financial,Exchange Traded Fund,USA,-,-,28.94,6.18%,598
ACST,2020-03-13,69,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,28.87M,-,0.31,-3.12%,1249167
ACT,2020-03-13,70,AdvisorShares Vice ETF,Financial,Exchange Traded Fund,USA,-,-,19.01,2.89%,8849
ACTG,2020-03-13,71,Acacia Research Corporation,Services,Business Services,USA,115.34M,-,2.3,1.32%,164287
ACTT,2020-03-13,72,Act II Global Acquisition Corp.,Conglomerates,Conglomerates,USA,300.30M,-,10.03,0.20%,109890
ACTTU,2020-03-13,73,Act II Global Acquisition Corp.,Conglomerates,Conglomerates,USA,-,-,10.49,-4.67%,2
ACU,2020-03-13,74,Acme United Corporation,Consumer Goods,Housewares & Accessories,USA,72.02M,14.27,21.66,2.56%,32285
ACV,2020-03-13,75,AllianzGI Diversified Income & Convertible Fund,Consumer Goods,Personal Products,USA,167.85M,-,17.96,10.52%,75753
ACWF,2020-03-13,76,iShares Edge MSCI Multifactor Global ETF,Financial,Exchange Traded Fund,USA,-,-,24.89,6.01%,18100
ACWI,2020-03-13,77,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,-,64.02,7.16%,9921652
ACWV,2020-03-13,78,iShares Edge MSCI Min Vol Global ETF,Financial,Exchange Traded Fund,USA,-,-,82.93,5.82%,1504210
ACWX,2020-03-13,79,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA,-,-,37.9,6.61%,1883763
ACY,2020-03-13,80,AeroCentury Corp.,Services,Rental & Leasing Services,USA,4.93M,-,2.83,-10.57%,24578
ADAP,2020-03-13,81,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,364.65M,-,2.72,3.42%,471861
ADBE,2020-03-13,82,Adobe Inc.,Technology,Application Software,USA,143.56B,47.40,335.5,17.72%,8783212
ADC,2020-03-13,83,Agree Realty Corporation,Financial,Property Management,USA,3.10B,35.04,72.79,7.52%,1007731
ADES,2020-03-13,84,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,125.92M,3.73,6.82,3.18%,171374
ADI,2020-03-13,85,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,USA,33.72B,27.83,99.79,10.87%,6121240
ADIL,2020-03-13,86,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,13.70M,-,1.28,4.63%,25094
ADM,2020-03-13,87,Archer-Daniels-Midland Company,Consumer Goods,Farm Products,USA,17.92B,12.56,34.64,9.83%,6183965
ADMA,2020-03-13,88,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,202.38M,-,2.16,-1.37%,3507359
ADME,2020-03-13,89,Aptus Drawdown Managed Equity ETF,Financial,Exchange Traded Fund,USA,-,-,29.11,2.79%,32603
ADMP,2020-03-13,90,Adamis Pharmaceuticals Corporation,Healthcare,Drug Delivery,USA,27.09M,-,0.37,4.69%,909873
ADMS,2020-03-13,91,"Adamas Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,78.88M,-,2.7,-5.59%,441755
ADNT,2020-03-13,92,Adient plc,Consumer Goods,Auto Parts,Ireland,1.24B,-,13.95,5.36%,1732140
ADP,2020-03-13,93,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,56.79B,23.03,144.5,10.91%,3557043
ADPT,2020-03-13,94,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,2.27B,-,19.7,11.43%,1381962
ADRE,2020-03-13,95,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Financial,Exchange Traded Fund,USA,-,-,35.23,7.09%,28703
ADRO,2020-03-13,96,"Aduro BioTech, Inc.",Healthcare,Biotechnology,USA,203.15M,-,2.56,4.92%,1108007
ADS,2020-03-13,97,Alliance Data Systems Corporation,Services,Business Services,USA,2.28B,4.35,49.51,5.75%,2528287
ADSK,2020-03-13,98,"Autodesk, Inc.",Technology,Technical & System Software,USA,31.76B,141.08,158.03,16.20%,3967967
ADSW,2020-03-13,99,"Advanced Disposal Services, Inc.",Industrial Goods,Waste Management,USA,2.90B,-,32.74,1.21%,3630157
ADT,2020-03-13,100,ADT Inc.,Services,Security & Protection Services,USA,3.80B,-,4.7,-2.69%,2642758
ADTN,2020-03-13,101,"ADTRAN, Inc.",Technology,Communication Equipment,USA,309.91M,-,6.39,1.67%,354292
ADUS,2020-03-13,102,Addus HomeCare Corporation,Healthcare,Home Health Care,USA,944.08M,40.39,64.8,6.53%,171075
ADVM,2020-03-13,103,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,662.42M,-,10.33,29.45%,2767548
ADX,2020-03-13,104,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,1.25B,2.69,12.84,8.45%,907106
ADXS,2020-03-13,105,"Advaxis, Inc.",Healthcare,Biotechnology,USA,33.04M,-,0.51,-3.50%,2250565
AE,2020-03-13,106,"Adams Resources & Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,101.89M,59.08,23.0,-3.16%,21495
AEE,2020-03-13,107,Ameren Corporation,Utilities,Electric Utilities,USA,17.97B,21.61,76.15,5.18%,2467154
AEF,2020-03-13,108,"Aberdeen Emerging Markets Equity Income Fund, Inc.",Financial,Asset Management,United Kingdom,274.06M,8.82,5.67,5.00%,68537
AEG,2020-03-13,109,Aegon N.V.,Financial,Life Insurance,Netherlands,4.62B,2.67,2.27,8.10%,3921967
AEGN,2020-03-13,110,Aegion Corporation,Industrial Goods,Heavy Construction,USA,437.40M,-,15.58,6.86%,227702
AEHR,2020-03-13,111,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,37.04M,-,1.38,-4.17%,96075
AEIS,2020-03-13,112,"Advanced Energy Industries, Inc.",Technology,Diversified Electronics,USA,1.68B,29.72,46.24,6.06%,520090
AEL,2020-03-13,113,American Equity Investment Life Holding Company,Financial,Life Insurance,USA,1.64B,6.23,19.24,15.49%,1150516
AEM,2020-03-13,114,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,10.24B,21.51,37.27,-12.06%,4130903
AEMD,2020-03-13,115,"Aethlon Medical, Inc.",Healthcare,Medical Appliances & Equipment,USA,12.70M,-,1.44,-2.70%,603406
AEO,2020-03-13,116,"American Eagle Outfitters, Inc.",Services,Apparel Stores,USA,1.48B,7.98,10.1,12.98%,6654329
AEP,2020-03-13,117,"American Electric Power Company, Inc.",Utilities,Electric Utilities,USA,41.24B,21.27,86.47,4.76%,5080940
AER,2020-03-13,118,AerCap Holdings N.V.,Services,"Air Services, Other",Netherlands,3.54B,3.17,24.5,-8.68%,7611380
AERI,2020-03-13,119,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,USA,693.70M,-,14.67,9.40%,2118660
AES,2020-03-13,120,The AES Corporation,Utilities,Electric Utilities,USA,8.12B,26.89,13.0,6.73%,6850608
AESE,2020-03-13,121,Allied Esports Entertainment Inc.,Conglomerates,Conglomerates,USA,32.42M,-,1.38,1.65%,31032
AESR,2020-03-13,122,Anfield U.S. Equity Sector Rotation ETF,Financial,Exchange Traded Fund,USA,-,-,8.49,7.01%,200
AEY,2020-03-13,123,"ADDvantage Technologies Group, Inc.",Services,Electronics Wholesale,USA,25.43M,-,2.43,5.19%,188528
AEZS,2020-03-13,124,Aeterna Zentaris Inc.,Healthcare,Biotechnology,Canada,12.93M,-,0.53,-3.64%,316033
AFB,2020-03-13,125,AllianceBernstein National Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,359.89M,6.64,12.73,1.68%,61698
AFG,2020-03-13,126,"American Financial Group, Inc.",Financial,Property & Casualty Insurance,USA,6.50B,7.29,76.24,6.01%,700102
