Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ALEC,2020-05-22,"Alector, Inc.",Healthcare,Biotechnology,USA,2.53B,-,33.1,4.71%,493370
ALEX,2020-05-22,"Alexander & Baldwin, Inc.",Real Estate,REIT - Diversified,USA,789.56M,-,10.91,-2.68%,213239
ALG,2020-05-22,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery,USA,1.12B,17.73,94.83,2.15%,54006
ALGN,2020-05-22,"Align Technology, Inc.",Healthcare,Medical Devices,USA,19.43B,10.22,243.74,3.30%,957169
ALGT,2020-05-22,Allegiant Travel Company,Industrials,Airlines,USA,1.41B,10.09,87.5,-2.39%,218145
ALK,2020-05-22,"Alaska Air Group, Inc.",Industrials,Airlines,USA,3.88B,7.28,31.02,-2.58%,2854186
ALKS,2020-05-22,Alkermes plc,Healthcare,Biotechnology,Ireland,2.67B,-,16.86,1.69%,775978
ALL,2020-05-22,The Allstate Corporation,Financial,Insurance - Property & Casualty,USA,30.10B,7.95,94.82,0.73%,1451870
ALLE,2020-05-22,Allegion plc,Industrials,Security & Protection Services,Ireland,8.75B,27.55,94.29,0.31%,495512
ALLK,2020-05-22,Allakos Inc.,Healthcare,Biotechnology,USA,3.60B,-,76.56,2.59%,123309
ALLO,2020-05-22,"Allogene Therapeutics, Inc.",Healthcare,Biotechnology,USA,6.35B,-,54.04,7.65%,1145417
ALLT,2020-05-22,Allot Ltd.,Technology,Communication Equipment,Israel,405.65M,-,11.69,0.26%,135145
ALLY,2020-05-22,Ally Financial Inc.,Financial,Credit Services,USA,5.97B,6.18,15.89,-1.49%,3469031
ALNY,2020-05-22,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,15.78B,-,140.52,-0.94%,775950
ALRM,2020-05-22,"Alarm.com Holdings, Inc.",Technology,Software - Application,USA,2.20B,43.49,46.36,2.59%,426765
ALSN,2020-05-22,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto Parts,USA,4.07B,7.47,35.71,-0.75%,530513
ALTR,2020-05-22,Altair Engineering Inc.,Technology,Software - Infrastructure,USA,2.61B,-,36.29,1.09%,178915
ALV,2020-05-22,"Autoliv, Inc.",Consumer Cyclical,Auto Parts,Sweden,5.58B,13.15,63.95,0.08%,242571
ALX,2020-05-22,"Alexander's, Inc.",Real Estate,REIT - Retail,USA,1.25B,26.47,241.97,1.03%,4850
ALXN,2020-05-22,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,22.49B,9.56,101.5,0.36%,1052658
AM,2020-05-22,Antero Midstream Corporation,Energy,Oil & Gas Midstream,USA,2.03B,-,4.3,0.00%,3675779
AMAL,2020-05-22,Amalgamated Bank,Financial,Banks - Regional,USA,318.58M,7.33,10.57,2.62%,33411
AMAT,2020-05-22,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,52.24B,17.32,54.39,-1.15%,6875460
AMBA,2020-05-22,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.95B,-,57.29,1.31%,193870
AMBC,2020-05-22,"Ambac Financial Group, Inc.",Financial,Insurance - Specialty,USA,643.42M,-,13.76,0.00%,178338
AMC,2020-05-22,"AMC Entertainment Holdings, Inc.",Communication Services,Entertainment,USA,480.58M,-,4.58,-1.08%,2382638
AMCR,2020-05-22,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland,15.10B,28.49,9.6,1.27%,4462791
AMCX,2020-05-22,AMC Networks Inc.,Communication Services,Broadcasting,USA,1.53B,5.42,29.16,-5.05%,814360
AMD,2020-05-22,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,64.98B,135.55,55.17,0.95%,43407972
AME,2020-05-22,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,USA,19.67B,21.07,85.9,1.23%,1263915
AMED,2020-05-22,"Amedisys, Inc.",Healthcare,Medical Care Facilities,USA,6.21B,49.86,192.01,0.11%,137288
AMEH,2020-05-22,"Apollo Medical Holdings, Inc.",Healthcare,Medical Care Facilities,USA,867.78M,44.46,17.16,-2.17%,67767
AMG,2020-05-22,"Affiliated Managers Group, Inc.",Financial,Asset Management,USA,3.03B,16.29,64.46,-3.31%,348165
AMGN,2020-05-22,Amgen Inc.,Healthcare,Drug Manufacturers - General,USA,133.59B,17.74,226.43,0.73%,2305494
AMH,2020-05-22,American Homes 4 Rent,Real Estate,REIT - Residential,USA,7.25B,80.87,24.18,0.42%,2206140
AMK,2020-05-22,"AssetMark Financial Holdings, Inc.",Financial,Asset Management,USA,1.83B,-,26.7,-1.04%,101652
