Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-04-06,1,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,23.64B,30.69,74.36,5.60%,2311703
AA,2020-04-06,2,Alcoa Corporation,Basic Materials,Aluminum,USA,1.24B,-,6.55,9.72%,9887885
AAAU,2020-04-06,3,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,16.65,2.90%,334395
AACG,2020-04-06,4,ATA Creativity Global,Services,Education & Training Services,China,26.12M,-,0.95,-0.36%,3532
AADR,2020-04-06,5,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,41.26,5.72%,12299
AAL,2020-04-06,6,American Airlines Group Inc.,Services,Major Airlines,USA,4.34B,2.50,9.5,1.17%,93461717
AAMC,2020-04-06,7,Altisource Asset Management Corporation,Financial,Asset Management,USA,23.15M,-,13.86,13.93%,1554
AAME,2020-04-06,8,Atlantic American Corporation,Financial,Life Insurance,USA,45.26M,-,2.21,5.24%,904
AAN,2020-04-06,9,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,1.52B,53.35,22.14,18.90%,1150377
AAOI,2020-04-06,10,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,165.45M,-,7.92,6.31%,726690
AAON,2020-04-06,11,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.69B,47.28,48.23,7.39%,279385
AAP,2020-04-06,12,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,6.93B,14.02,95.81,13.18%,1378146
AAPL,2020-04-06,13,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1165.18B,20.73,262.47,8.72%,50087951
AAT,2020-04-06,14,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1.50B,27.99,23.65,10.10%,604686
AAU,2020-04-06,15,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,35.18M,-,0.29,5.90%,367036
AAWW,2020-04-06,16,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,664.37M,-,21.97,8.92%,618163
AAXJ,2020-04-06,17,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,61.0,5.01%,2624457
AAXN,2020-04-06,18,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,4.12B,5230.77,68.0,10.55%,772861
AB,2020-04-06,19,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,1.96B,7.52,18.69,7.79%,476207
ABB,2020-04-06,20,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,39.47B,37.48,17.58,6.74%,2955356
ABBV,2020-04-06,21,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,114.51B,14.34,75.73,3.22%,10226097
ABC,2020-04-06,22,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,18.32B,28.00,86.29,6.09%,1488060
ABCB,2020-04-06,23,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1.72B,7.85,22.36,8.23%,432659
ABEO,2020-04-06,24,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,193.28M,-,2.29,9.57%,1442115
ABEQ,2020-04-06,25,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,20.69,4.42%,2766
ABEV,2020-04-06,26,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,35.08B,12.67,2.23,2.29%,27551143
ABG,2020-04-06,27,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.03B,4.98,47.65,13.18%,322646
ABIO,2020-04-06,28,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,4.53M,-,2.84,-0.18%,24127
ABM,2020-04-06,29,ABM Industries Incorporated,Services,Business Services,USA,1.84B,12.20,25.97,14.00%,615572
ABMD,2020-04-06,30,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,6.86B,28.19,150.26,6.27%,574782
ABR,2020-04-06,31,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,585.18M,3.94,4.99,22.91%,3764400
ABT,2020-04-06,32,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,145.87B,40.94,82.73,4.13%,12343958
ABTX,2020-04-06,33,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,506.95M,9.49,23.47,8.21%,100346
ABUS,2020-04-06,34,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,78.74M,-,1.04,14.27%,620389
AC,2020-04-06,35,"Associated Capital Group, Inc.",Financial,Asset Management,USA,906.63M,22.82,39.66,48.82%,32117
ACA,2020-04-06,36,"Arcosa, Inc.",Industrial Goods,Farm & Construction Machinery,USA,1.94B,17.36,40.26,7.36%,344613
ACAD,2020-04-06,37,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,6.88B,-,43.29,6.21%,1281013
ACAM,2020-04-06,38,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,380.85M,109.56,9.97,-0.30%,14
ACAMU,2020-04-06,39,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,-,110.22,10.03,0.80%,22620
ACB,2020-04-06,40,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,-,3.70,0.8,-1.25%,50644898
ACBI,2020-04-06,41,"Atlantic Capital Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,254.17M,9.53,11.48,8.82%,96237
ACC,2020-04-06,42,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,3.89B,46.41,27.89,7.77%,1752767
ACCO,2020-04-06,43,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,489.07M,4.56,4.88,5.40%,907541
ACEL,2020-04-06,44,"Accel Entertainment, Inc.",Services,Gaming Activities,USA,597.20M,-,7.51,3.30%,175232
ACER,2020-04-06,45,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,23.19M,-,2.04,33.33%,104316
ACES,2020-04-06,46,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,29.14,9.34%,18418
ACGL,2020-04-06,47,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,11.80B,6.98,27.03,9.83%,2900969
ACGLO,2020-04-06,48,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,8.70B,5.58,21.59,8.38%,63098
ACGLP,2020-04-06,49,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,8.88B,5.69,22.03,9.49%,60189
ACH,2020-04-06,50,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,6.34B,38.40,5.03,3.07%,69267
ACHC,2020-04-06,51,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,1.79B,14.26,17.68,13.84%,863911
ACHV,2020-04-06,52,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,10.23M,-,0.33,4.43%,2635472
ACIA,2020-04-06,53,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.79B,86.85,66.7,0.45%,867985
ACIO,2020-04-06,54,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,23.12,2.92%,9017
ACIU,2020-04-06,55,AC Immune SA,Healthcare,Biotechnology,Switzerland,525.12M,10.39,7.24,-3.60%,175606
ACIW,2020-04-06,56,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,2.78B,41.88,23.45,7.82%,1212866
ACLS,2020-04-06,57,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,641.84M,37.93,19.04,13.20%,438993
ACM,2020-04-06,58,AECOM,Services,Technical Services,USA,4.71B,-,28.27,7.94%,2100530
ACMR,2020-04-06,59,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,597.29M,33.21,32.55,19.67%,708835
ACN,2020-04-06,60,Accenture plc,Technology,Information Technology Services,Ireland,112.87B,21.57,166.05,9.14%,3035530
ACNB,2020-04-06,61,ACNB Corporation,Financial,Regional - Southwest Banks,USA,255.39M,8.26,27.76,14.00%,30097
ACOR,2020-04-06,62,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,44.24M,-,0.93,6.57%,759527
ACP,2020-04-06,63,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,-,-,6.77,5.78%,112567
