Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-03-30,1,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,23.39B,29.99,72.67,2.48%,1420896
AA,2020-03-30,2,Alcoa Corporation,Basic Materials,Aluminum,USA,1.18B,-,6.07,-7.33%,9516452
AAAU,2020-03-30,3,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,16.24,-0.31%,536387
AACG,2020-03-30,4,ATA Creativity Global,Services,Education & Training Services,China,27.97M,-,0.95,-1.19%,6499
AADR,2020-03-30,5,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,40.71,0.72%,3026
AAL,2020-03-30,6,American Airlines Group Inc.,Services,Major Airlines,USA,5.82B,3.22,12.25,-12.75%,50206879
AAMC,2020-03-30,7,Altisource Asset Management Corporation,Financial,Asset Management,USA,19.78M,-,12.28,-12.68%,2525
AAME,2020-03-30,8,Atlantic American Corporation,Financial,Life Insurance,USA,44.22M,-,2.13,-5.33%,364
AAN,2020-03-30,9,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,1.51B,54.34,22.55,-4.65%,1013534
AAOI,2020-03-30,10,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,143.03M,-,7.6,1.60%,705776
AAON,2020-03-30,11,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.63B,47.31,48.26,4.32%,261120
AAP,2020-03-30,12,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,6.79B,14.12,96.5,0.94%,1036696
AAPL,2020-03-30,13,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1163.07B,20.12,254.81,2.85%,41863171
AAT,2020-03-30,14,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1.47B,29.20,24.67,-0.08%,536844
AAU,2020-03-30,15,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,31.28M,-,0.28,-6.92%,445933
AAWW,2020-03-30,16,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,628.86M,-,22.19,0.09%,534036
AAXJ,2020-03-30,17,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,59.43,1.96%,1109826
AAXN,2020-03-30,18,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,4.25B,5343.08,69.46,-6.65%,1103061
AB,2020-03-30,19,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,1.95B,7.56,18.8,0.43%,603824
ABB,2020-03-30,20,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,39.37B,36.99,17.35,-4.77%,2708284
ABBV,2020-03-30,21,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,112.88B,14.25,75.24,3.54%,10632353
ABC,2020-03-30,22,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,18.67B,28.59,88.1,7.73%,1768179
ABCB,2020-03-30,23,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1.65B,8.20,23.35,3.69%,460238
ABEO,2020-03-30,24,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,173.89M,-,2.04,-0.97%,734012
ABEQ,2020-03-30,25,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,20.48,2.41%,60681
ABEV,2020-03-30,26,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,39.01B,14.09,2.48,-1.20%,19567666
ABG,2020-03-30,27,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.17B,5.77,55.28,-0.40%,361693
ABIO,2020-03-30,28,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,4.37M,-,2.68,1.86%,3682
ABM,2020-03-30,29,ABM Industries Incorporated,Services,Business Services,USA,1.61B,11.35,24.17,9.91%,602345
ABMD,2020-03-30,30,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,6.90B,27.95,148.99,2.58%,475757
ABR,2020-03-30,31,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,582.97M,4.38,5.54,-19.01%,4408564
ABT,2020-03-30,32,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,142.26B,39.26,79.34,6.41%,46465677
ABTX,2020-03-30,33,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,531.83M,9.81,24.24,2.32%,62125
ABUS,2020-03-30,34,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,144.21M,-,1.12,-7.44%,2082314
AC,2020-03-30,35,"Associated Capital Group, Inc.",Financial,Asset Management,USA,711.32M,17.76,30.86,6.75%,6298
ACA,2020-03-30,36,"Arcosa, Inc.",Industrial Goods,Farm & Construction Machinery,USA,2.01B,16.67,38.66,6.27%,346244
ACAD,2020-03-30,37,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,6.53B,-,41.32,6.41%,1089441
ACAM,2020-03-30,38,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,375.09M,-,9.91,-0.30%,8
ACAMU,2020-03-30,39,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,-,-,9.9,0.00%,0
ACB,2020-03-30,40,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,1.04B,4.11,0.89,-13.83%,50053890
ACBI,2020-03-30,41,"Atlantic Capital Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,269.00M,10.09,12.15,4.11%,98916
ACC,2020-03-30,42,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,4.04B,48.94,29.41,-2.55%,1455648
ACCO,2020-03-30,43,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,479.50M,4.67,5.0,-2.91%,607252
