Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-05-06,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,24.91B,32.14,77.87,1.96%,2238549
AA,2020-05-06,Alcoa Corporation,Basic Materials,Aluminum,USA,1.52B,-,7.71,-1.28%,6235932
AAL,2020-05-06,American Airlines Group Inc.,Industrials,Airlines,USA,4.42B,-,9.25,-2.73%,68481238
AAN,2020-05-06,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.01B,69.40,28.8,-2.04%,704796
AAON,2020-05-06,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.56B,46.00,46.92,1.71%,200235
AAP,2020-05-06,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,8.68B,17.73,121.16,-0.02%,683538
AAPL,2020-05-06,Apple Inc.,Technology,Consumer Electronics,USA,1336.93B,23.74,300.63,1.03%,35412653
AAT,2020-05-06,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.66B,34.86,26.77,-1.18%,403974
AAWW,2020-05-06,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,947.50M,-,35.5,6.32%,1210159
AAXN,2020-05-06,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,4.14B,5086.92,66.13,0.43%,517632
AB,2020-05-06,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.31B,8.32,21.9,-1.62%,310681
ABB,2020-05-06,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,39.22B,38.92,17.67,-1.61%,1453428
ABBV,2020-05-06,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,126.76B,16.17,85.42,0.06%,17012703
ABC,2020-05-06,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,18.27B,27.74,85.5,-2.81%,1326531
ABCB,2020-05-06,Ameris Bancorp,Financial,Banks - Regional,USA,1.63B,9.60,21.92,-5.39%,291830
ABEV,2020-05-06,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,33.04B,11.93,2.1,-2.33%,31823415
ABG,2020-05-06,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,1.28B,6.78,64.89,-3.80%,339274
ABM,2020-05-06,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.15B,14.59,31.06,-3.57%,294788
ABMD,2020-05-06,"Abiomed, Inc.",Healthcare,Medical Devices,USA,8.78B,42.23,186.91,0.37%,372967
ABR,2020-05-06,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,763.33M,5.29,6.69,-1.33%,3012238
ABT,2020-05-06,Abbott Laboratories,Healthcare,Medical Devices,USA,165.12B,45.70,91.08,-2.10%,4216055
ABTX,2020-05-06,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,461.41M,8.95,22.13,-2.21%,103532
AC,2020-05-06,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,824.28M,19.90,34.59,-4.45%,22120
ACA,2020-05-06,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,1.67B,13.68,32.84,-4.31%,257603
ACAD,2020-05-06,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,8.07B,-,48.18,1.69%,894170
ACAM,2020-05-06,Acamar Partners Acquisition Corp.,Industrials,Conglomerates,USA,382.35M,109.56,9.97,0.00%,24385
ACB,2020-05-06,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,808.34M,3.20,0.69,-1.07%,10111486
ACC,2020-05-06,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,4.53B,39.78,30.55,-4.29%,2089283
ACCO,2020-05-06,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,580.95M,5.52,5.91,-6.19%,801238
ACEL,2020-05-06,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,722.30M,-,9.29,0.00%,74453
ACGL,2020-05-06,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,9.94B,6.04,23.42,-1.35%,2981363
ACGLO,2020-05-06,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,9.93B,6.37,24.64,0.69%,28937
ACGLP,2020-05-06,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,9.69B,6.21,24.05,0.21%,29025
ACH,2020-05-06,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,6.06B,38.24,5.01,2.45%,60834
