Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-04-30,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,24.40B,32.49,78.72,4.33%,2321328
AA,2020-04-30,Alcoa Corporation,Basic Materials,Aluminum,USA,1.67B,-,8.67,10.59%,12346880
AAL,2020-04-30,American Airlines Group Inc.,Services,Major Airlines,USA,5.39B,3.32,12.63,12.17%,110358587
AAN,2020-04-30,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,2.16B,77.90,32.33,15.75%,1784410
AAON,2020-04-30,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.40B,47.58,48.53,0.43%,496961
AAP,2020-04-30,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,8.60B,18.28,124.91,3.26%,937501
AAPL,2020-04-30,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1263.85B,22.72,287.73,3.28%,33545925
AAT,2020-04-30,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1.77B,34.82,29.42,1.38%,572122
AAWW,2020-04-30,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,905.58M,-,35.1,9.96%,1271958
AAXN,2020-04-30,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,4.67B,5787.69,75.24,-0.13%,747143
AB,2020-04-30,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.28B,9.29,23.1,3.96%,776997
ABB,2020-04-30,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,41.59B,40.87,19.17,2.90%,2605054
ABBV,2020-04-30,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,124.30B,15.86,83.76,1.21%,8211668
ABC,2020-04-30,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,18.23B,28.99,89.34,-0.21%,1877435
ABCB,2020-04-30,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1.88B,9.43,26.85,7.74%,565082
ABEV,2020-04-30,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,34.46B,12.44,2.19,2.82%,49613416
ABG,2020-04-30,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.33B,7.26,69.48,9.35%,234737
ABM,2020-04-30,ABM Industries Incorporated,Services,Business Services,USA,2.41B,16.89,35.95,5.46%,482163
ABMD,2020-04-30,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,7.64B,31.75,169.28,2.97%,837695
ABR,2020-04-30,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,776.23M,5.68,7.18,10.29%,3465997
ABT,2020-04-30,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,165.40B,46.30,92.28,0.90%,7038743
ABTX,2020-04-30,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,562.11M,11.29,27.91,9.71%,116111
AC,2020-04-30,"Associated Capital Group, Inc.",Financial,Asset Management,USA,887.12M,22.72,39.48,2.36%,17522
ACA,2020-04-30,"Arcosa, Inc.",Industrial Goods,Farm & Construction Machinery,USA,1.83B,16.42,38.07,-4.15%,774178
ACAD,2020-04-30,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,7.93B,-,50.76,0.24%,1092398
