Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-05-29,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,27.32B,36.38,88.14,1.67%,2205351
AA,2020-05-29,Alcoa Corporation,Basic Materials,Aluminum,USA,1.73B,-,9.21,-2.85%,7757321
AAL,2020-05-29,American Airlines Group Inc.,Industrials,Airlines,USA,4.53B,-,10.5,-4.37%,58508182
AAN,2020-05-29,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.47B,-,36.91,1.85%,742906
AAON,2020-05-29,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.82B,44.22,54.17,-0.09%,284755
AAP,2020-05-29,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.72B,25.39,139.32,0.64%,1257149
AAPL,2020-05-29,Apple Inc.,Technology,Consumer Electronics,USA,1386.25B,24.92,317.94,-0.10%,38257485
AAT,2020-05-29,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.62B,34.08,26.17,-3.65%,477284
AAWW,2020-05-29,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.03B,-,39.06,0.41%,401934
AAXN,2020-05-29,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,4.69B,-,75.96,3.77%,778806
AB,2020-05-29,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.41B,9.49,24.97,-1.11%,494101
ABB,2020-05-29,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,43.19B,43.30,19.66,-0.10%,2610887
ABBV,2020-05-29,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,164.95B,16.40,92.67,2.93%,12859367
ABC,2020-05-29,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,19.21B,12.56,95.34,1.00%,1318005
ABCB,2020-05-29,Ameris Bancorp,Financial,Banks - Regional,USA,1.67B,10.61,24.23,-2.22%,720254
ABEV,2020-05-29,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,36.34B,13.12,2.31,-2.94%,59395449
ABG,2020-05-29,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,1.41B,8.53,72.28,-5.16%,210627
ABM,2020-05-29,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.05B,14.43,30.73,-8.21%,606179
ABMD,2020-05-29,"Abiomed, Inc.",Healthcare,Medical Devices,USA,10.08B,50.59,223.9,3.01%,971987
ABR,2020-05-29,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,894.20M,18.75,8.42,-1.64%,2623549
ABT,2020-05-29,Abbott Laboratories,Healthcare,Medical Devices,USA,167.90B,47.63,94.92,3.06%,9936514
ABTX,2020-05-29,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,522.96M,12.40,25.61,-2.33%,135211
AC,2020-05-29,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,902.34M,-,41.09,-5.99%,17576
ACA,2020-05-29,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,1.83B,15.90,38.17,-0.29%,501823
ACAD,2020-05-29,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,7.79B,-,49.68,-1.99%,1196470
ACAM,2020-05-29,Acamar Partners Acquisition Corp.,Industrials,Conglomerates,USA,381.14M,123.21,9.98,0.10%,32782
ACB,2020-05-29,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.55B,65.19,14.08,-8.21%,10670244
ACC,2020-05-29,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,4.52B,42.06,32.3,-3.38%,1572134
ACCO,2020-05-29,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,571.28M,5.34,6.19,-2.37%,532743
ACEL,2020-05-29,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,791.83M,-,10.14,6.29%,836450
ACGL,2020-05-29,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,11.40B,9.02,28.22,-2.82%,8329554
ACGLO,2020-05-29,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,10.21B,8.13,25.35,0.60%,18974
ACGLP,2020-05-29,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,9.82B,7.81,24.36,0.87%,52773
ACH,2020-05-29,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,5.94B,36.69,4.77,0.42%,83272
ACHC,2020-05-29,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,2.56B,22.26,28.61,-2.55%,675836
ACIA,2020-05-29,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.79B,69.95,67.5,1.26%,714872
ACIU,2020-05-29,AC Immune SA,Healthcare,Biotechnology,Switzerland,550.86M,-,7.74,1.44%,120101
ACIW,2020-05-29,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,3.16B,48.13,27.58,4.04%,992447
ACLS,2020-05-29,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,876.92M,41.06,26.85,4.88%,769525
ACM,2020-05-29,AECOM,Industrials,Engineering & Construction,USA,6.17B,-,38.77,0.23%,2442557
ACMR,2020-05-29,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.12B,61.01,59.79,1.94%,454767
ACN,2020-05-29,Accenture plc,Technology,Information Technology Services,Ireland,133.29B,26.19,201.62,-0.02%,2467370
ACTT,2020-05-29,Act II Global Acquisition Corp.,Financial,Shell Companies,USA,377.60M,-,10.08,-0.10%,1100675
ADAP,2020-05-29,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,1.47B,-,11.07,127.78%,112822838
ADBE,2020-05-29,Adobe Inc.,Technology,Software - Infrastructure,USA,186.34B,58.53,386.6,1.78%,5878888
ADC,2020-05-29,Agree Realty Corporation,Real Estate,REIT - Retail,USA,3.38B,32.69,62.77,-0.46%,903742
ADCT,2020-05-29,ADC Therapeutics SA,Healthcare,Biotechnology,Switzerland,2.48B,-,36.95,-2.64%,254097
ADI,2020-05-29,"Analog Devices, Inc.",Technology,Semiconductors,USA,41.59B,37.70,112.95,1.79%,2912676
ADM,2020-05-29,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,22.13B,14.23,39.31,0.79%,3725863
ADNT,2020-05-29,Adient plc,Consumer Cyclical,Auto Parts,Ireland,1.59B,-,17.01,-0.58%,1459251
ADP,2020-05-29,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,62.99B,25.11,146.49,1.17%,3227885
ADPT,2020-05-29,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,4.71B,-,38.7,-0.57%,1961732
ADS,2020-05-29,Alliance Data Systems Corporation,Financial,Credit Services,USA,2.26B,5.75,46.33,-5.45%,4138158
ADSK,2020-05-29,"Autodesk, Inc.",Technology,Software - Application,USA,45.87B,219.15,210.38,3.82%,2601788
ADSW,2020-05-29,"Advanced Disposal Services, Inc.",Industrials,Waste Management,USA,2.82B,-,31.18,-0.42%,1285582
ADT,2020-05-29,ADT Inc.,Industrials,Security & Protection Services,USA,5.30B,-,7.08,1.58%,1927101
ADTN,2020-05-29,"ADTRAN, Inc.",Technology,Communication Equipment,USA,546.71M,-,11.4,2.33%,440622
ADUS,2020-05-29,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1.52B,65.71,98.96,2.16%,149379
ADVM,2020-05-29,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,1.64B,-,20.63,1.53%,1973020
ADX,2020-05-29,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,1.60B,3.35,14.74,0.41%,169156
AEE,2020-05-29,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA,18.41B,23.63,74.73,1.07%,1845791
AEG,2020-05-29,Aegon N.V.,Financial,Insurance - Diversified,Netherlands,5.56B,3.49,2.67,-3.96%,4564129
