Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-04-20,1,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,23.98B,31.93,77.37,-2.74%,1622732
AA,2020-04-20,2,Alcoa Corporation,Basic Materials,Aluminum,USA,1.44B,-,7.45,-1.84%,7321218
AAAU,2020-04-20,3,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,17.03,1.25%,292088
AACG,2020-04-20,4,ATA Creativity Global,Services,Education & Training Services,China,23.83M,-,0.83,-1.09%,2517
AADR,2020-04-20,5,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,44.62,0.09%,30389
AAL,2020-04-20,6,American Airlines Group Inc.,Services,Major Airlines,USA,5.23B,2.91,11.06,-4.41%,58469993
AAMC,2020-04-20,7,Altisource Asset Management Corporation,Financial,Asset Management,USA,21.02M,-,13.92,-0.08%,1269
AAME,2020-04-20,8,Atlantic American Corporation,Financial,Life Insurance,USA,37.00M,-,1.85,-4.15%,885
AAN,2020-04-20,9,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,1.67B,59.54,24.71,0.49%,945167
AAOI,2020-04-20,10,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,171.92M,-,8.37,-0.83%,673271
AAON,2020-04-20,11,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.47B,45.47,46.38,-3.07%,214439
AAP,2020-04-20,12,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,8.01B,16.88,115.4,-2.91%,940651
AAPL,2020-04-20,13,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1222.66B,21.87,276.93,-2.08%,32059037
AAT,2020-04-20,14,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1.61B,30.24,25.55,-2.67%,203301
AAU,2020-04-20,15,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,39.45M,-,0.37,-3.07%,268732
AAWW,2020-04-20,16,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,637.42M,-,24.63,-0.36%,522711
AAXJ,2020-04-20,17,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,63.03,-1.05%,940376
AAXN,2020-04-20,18,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,4.66B,5906.15,76.78,0.08%,1561368
AB,2020-04-20,19,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,1.99B,8.10,20.14,-2.14%,361824
ABB,2020-04-20,20,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,38.68B,37.31,17.5,-0.96%,1762198
ABBV,2020-04-20,21,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,123.97B,15.90,83.99,0.65%,9090192
ABC,2020-04-20,22,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,18.89B,29.08,89.62,0.48%,1012015
ABCB,2020-04-20,23,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1.66B,7.78,22.15,-1.82%,340851
ABEO,2020-04-20,24,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,221.46M,-,2.51,7.73%,1008515
ABEQ,2020-04-20,25,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,21.46,-1.43%,75038
ABEV,2020-04-20,26,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,35.24B,12.73,2.24,0.90%,20430526
ABG,2020-04-20,27,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.06B,5.73,54.82,-5.68%,211301
