Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-05-19,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,25.40B,33.83,81.97,-2.02%,1999888
AA,2020-05-19,Alcoa Corporation,Basic Materials,Aluminum,USA,1.47B,-,7.74,-0.77%,10582494
AAL,2020-05-19,American Airlines Group Inc.,Industrials,Airlines,USA,4.13B,-,9.64,-2.33%,61944167
AAN,2020-05-19,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.24B,-,32.27,-3.30%,515117
AAON,2020-05-19,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.50B,40.75,49.92,-2.25%,133193
AAP,2020-05-19,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.43B,19.87,135.82,3.59%,3729269
AAPL,2020-05-19,Apple Inc.,Technology,Consumer Electronics,USA,1365.32B,24.55,313.14,-0.58%,25189979
AAT,2020-05-19,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.52B,32.68,25.1,-3.46%,264949
AAWW,2020-05-19,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.06B,-,38.75,0.78%,639501
AAXN,2020-05-19,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,4.57B,-,74.73,-0.17%,695845
AB,2020-05-19,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.27B,8.69,22.88,0.35%,446846
ABB,2020-05-19,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,39.56B,41.01,18.62,-0.32%,1460097
ABBV,2020-05-19,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,159.36B,16.14,91.2,-0.30%,9785870
ABC,2020-05-19,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,17.87B,11.81,89.63,0.48%,977454
ABCB,2020-05-19,Ameris Bancorp,Financial,Banks - Regional,USA,1.40B,9.00,20.56,-5.51%,347885
ABEV,2020-05-19,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,32.88B,11.87,2.09,-1.88%,32517499
ABG,2020-05-19,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,1.31B,8.12,68.8,-2.56%,154371
ABM,2020-05-19,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.13B,14.97,31.87,-2.18%,259178
ABMD,2020-05-19,"Abiomed, Inc.",Healthcare,Medical Devices,USA,8.56B,43.11,190.79,-0.14%,338734
ABR,2020-05-19,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,803.30M,15.61,7.32,1.67%,2647654
ABT,2020-05-19,Abbott Laboratories,Healthcare,Medical Devices,USA,159.33B,44.26,88.22,-2.27%,7617032
ABTX,2020-05-19,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,474.19M,11.19,23.12,-5.05%,88320
AC,2020-05-19,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,789.44M,-,36.43,-0.41%,25860
ACA,2020-05-19,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,1.62B,14.06,33.76,-0.62%,414155
ACAD,2020-05-19,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,7.41B,-,51.04,-1.96%,858851
ACAM,2020-05-19,Acamar Partners Acquisition Corp.,Industrials,Conglomerates,USA,381.60M,109.89,10.0,-0.50%,853095
ACB,2020-05-19,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.60B,67.82,14.65,-14.33%,52482190
ACC,2020-05-19,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,4.16B,39.43,30.28,1.47%,1935543
ACCO,2020-05-19,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,554.30M,5.10,5.91,-4.37%,462515
ACEL,2020-05-19,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,611.17M,-,8.93,2.17%,175352
ACGL,2020-05-19,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,9.79B,7.76,24.27,-0.35%,2368142
ACGLO,2020-05-19,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,9.92B,7.89,24.62,1.78%,13500
ACGLP,2020-05-19,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,9.43B,7.50,23.4,0.47%,48126
ACH,2020-05-19,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,6.14B,38.24,5.01,-4.75%,75035
ACHC,2020-05-19,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,2.29B,20.22,25.98,0.31%,851261
ACIA,2020-05-19,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.82B,68.95,66.54,-1.51%,1497505
ACIU,2020-05-19,AC Immune SA,Healthcare,Biotechnology,Switzerland,499.95M,-,7.29,-1.75%,81433
ACIW,2020-05-19,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,2.86B,43.93,25.17,-1.76%,545507
ACLS,2020-05-19,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,867.53M,37.81,24.73,3.26%,350631
ACM,2020-05-19,AECOM,Industrials,Engineering & Construction,USA,5.26B,-,33.92,-2.22%,1151846
ACMR,2020-05-19,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.22B,67.03,65.69,3.27%,693745
ACN,2020-05-19,Accenture plc,Technology,Information Technology Services,Ireland,123.14B,24.69,190.09,-1.38%,1776618
ACTT,2020-05-19,Act II Global Acquisition Corp.,Financial,Shell Companies,USA,375.42M,-,10.03,0.00%,1416662
ADAP,2020-05-19,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,629.19M,-,5.17,-1.34%,413440
ADBE,2020-05-19,Adobe Inc.,Technology,Software - Infrastructure,USA,179.40B,56.35,372.2,1.15%,2731490
ADC,2020-05-19,Agree Realty Corporation,Real Estate,REIT - Retail,USA,3.24B,31.82,61.1,-1.97%,355890
ADI,2020-05-19,"Analog Devices, Inc.",Technology,Semiconductors,USA,40.57B,32.88,106.33,-1.86%,3287694
ADM,2020-05-19,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,19.37B,12.61,34.82,-2.74%,1952697
ADNT,2020-05-19,Adient plc,Consumer Cyclical,Auto Parts,Ireland,1.53B,-,16.32,-4.00%,874479
ADP,2020-05-19,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,57.24B,22.82,133.1,-2.42%,2472365
ADPT,2020-05-19,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,5.05B,-,40.07,1.96%,1771528
ADS,2020-05-19,Alliance Data Systems Corporation,Financial,Credit Services,USA,2.10B,5.30,42.65,-4.86%,1312862
ADSK,2020-05-19,"Autodesk, Inc.",Technology,Software - Application,USA,42.84B,202.82,194.71,2.43%,1513848
ADSW,2020-05-19,"Advanced Disposal Services, Inc.",Industrials,Waste Management,USA,2.92B,-,32.48,-0.25%,792756
ADT,2020-05-19,ADT Inc.,Industrials,Security & Protection Services,USA,4.87B,-,6.41,1.75%,1489363
ADTN,2020-05-19,"ADTRAN, Inc.",Technology,Communication Equipment,USA,527.53M,-,11.0,0.09%,305726
ADUS,2020-05-19,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1.34B,59.10,89.0,-1.03%,77415
ADVM,2020-05-19,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,1.44B,-,18.92,5.17%,910520
ADX,2020-05-19,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,1.55B,3.23,14.22,-0.70%,211490
AEE,2020-05-19,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA,17.43B,22.34,70.65,-2.19%,1272458
AEG,2020-05-19,Aegon N.V.,Financial,Insurance - Diversified,Netherlands,5.18B,3.23,2.44,-1.21%,8171404
AEGN,2020-05-19,Aegion Corporation,Industrials,Engineering & Construction,USA,394.49M,-,13.08,-3.65%,115683
AEIS,2020-05-19,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,USA,2.47B,40.44,62.44,1.45%,283129
AEL,2020-05-19,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,1.71B,3.39,18.87,-5.51%,587707
AEM,2020-05-19,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,15.65B,34.45,68.01,2.87%,1366834
AEO,2020-05-19,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,USA,1.35B,7.74,8.66,-1.14%,7211844
AEP,2020-05-19,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA,38.07B,20.71,77.14,-3.43%,2777909
AER,2020-05-19,AerCap Holdings N.V.,Industrials,Airports & Air Services,Ireland,3.71B,3.14,27.96,-4.31%,1782340
AERI,2020-05-19,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,734.52M,-,15.94,-1.18%,1402519
AES,2020-05-19,The AES Corporation,Utilities,Utilities - Diversified,USA,8.57B,29.31,12.81,-1.76%,5190966
AFB,2020-05-19,AllianceBernstein National Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,359.31M,6.63,12.5,-0.56%,47698
AFG,2020-05-19,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA,5.10B,19.28,55.88,-3.67%,546588
AFIN,2020-05-19,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA,768.30M,-,7.09,-0.70%,412042
AFL,2020-05-19,Aflac Incorporated,Financial,Insurance - Life,USA,23.96B,8.46,33.63,-3.22%,3111566
AFYA,2020-05-19,Afya Limited,Consumer Defensive,Education & Training Services,Brazil,1.80B,26.53,19.5,-2.79%,192720
AG,2020-05-19,First Majestic Silver Corp.,Basic Materials,Silver,Canada,1.97B,-,9.42,1.73%,11236189
AGCO,2020-05-19,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,USA,3.62B,36.72,48.44,-1.72%,437802
AGEN,2020-05-19,Agenus Inc.,Healthcare,Biotechnology,USA,405.13M,-,2.48,-0.80%,2776837
AGI,2020-05-19,Alamos Gold Inc.,Basic Materials,Gold,Canada,3.31B,49.76,8.46,4.19%,4414931
AGIO,2020-05-19,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,3.19B,-,47.85,-2.01%,437109
AGLE,2020-05-19,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA,347.51M,-,8.27,7.82%,372411
AGM,2020-05-19,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA,626.91M,7.78,58.59,-1.91%,54965
AGMH,2020-05-19,AGM Group Holdings Inc.,Technology,Software - Application,Hong Kong,450.42M,-,20.67,0.63%,2432
AGNC,2020-05-19,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,7.25B,-,12.99,0.70%,7537146
AGNCM,2020-05-19,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,10.62B,-,22.22,0.09%,23028
AGNCN,2020-05-19,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,10.75B,-,22.5,0.22%,23637
AGO,2020-05-19,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,2.26B,8.72,25.49,-1.12%,792869
AGR,2020-05-19,"Avangrid, Inc.",Utilities,Utilities - Regulated Electric,USA,12.85B,17.28,40.36,-1.56%,650183
AGRO,2020-05-19,Adecoagro S.A.,Consumer Defensive,Farm Products,Luxembourg,445.35M,-,3.77,-1.05%,267644
AGX,2020-05-19,"Argan, Inc.",Industrials,Engineering & Construction,USA,559.54M,-,37.08,0.43%,160580
