Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-05-05,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,24.43B,31.52,76.37,2.43%,1438761
AA,2020-05-05,Alcoa Corporation,Basic Materials,Aluminum,USA,1.54B,-,7.81,0.13%,8132364
AAL,2020-05-05,American Airlines Group Inc.,Industrials,Airlines,USA,4.54B,-,9.51,-3.16%,86127094
AAN,2020-05-05,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.05B,70.84,29.4,-5.04%,722674
AAON,2020-05-05,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.52B,45.23,46.13,1.59%,262697
AAP,2020-05-05,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,8.68B,17.73,121.19,0.90%,440093
AAPL,2020-05-05,Apple Inc.,Technology,Consumer Electronics,USA,1323.27B,23.50,297.56,1.50%,36594899
AAT,2020-05-05,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.68B,35.27,27.09,-0.84%,301753
AAWW,2020-05-05,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,891.18M,-,33.39,1.52%,875876
AAXN,2020-05-05,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,4.12B,5065.38,65.85,-1.72%,609575
AB,2020-05-05,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.34B,8.46,22.26,-1.24%,355580
ABB,2020-05-05,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,39.86B,39.56,17.96,-0.83%,1790076
ABBV,2020-05-05,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,126.69B,16.17,85.37,4.29%,10752672
ABC,2020-05-05,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,18.80B,28.54,87.97,1.79%,1349501
ABCB,2020-05-05,Ameris Bancorp,Financial,Banks - Regional,USA,1.73B,10.14,23.17,-3.90%,261819
ABEV,2020-05-05,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,33.83B,12.22,2.15,0.00%,23040885
ABG,2020-05-05,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,1.34B,7.05,67.45,2.23%,366164
ABM,2020-05-05,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.23B,15.13,32.21,-0.46%,325310
ABMD,2020-05-05,"Abiomed, Inc.",Healthcare,Medical Devices,USA,8.75B,42.07,186.22,2.88%,380793
ABR,2020-05-05,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,773.60M,5.36,6.78,0.44%,2164516
ABT,2020-05-05,Abbott Laboratories,Healthcare,Medical Devices,USA,168.66B,46.68,93.03,3.56%,6740860
ABTX,2020-05-05,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,471.84M,9.15,22.63,-4.27%,112651
AC,2020-05-05,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,862.65M,20.83,36.2,-0.22%,11343
ACA,2020-05-05,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,1.75B,14.29,34.32,-1.38%,284620
ACAD,2020-05-05,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,7.94B,-,47.38,1.70%,757723
ACAM,2020-05-05,Acamar Partners Acquisition Corp.,Industrials,Conglomerates,USA,382.35M,109.56,9.97,-0.05%,2135
ACB,2020-05-05,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,817.11M,3.24,0.7,-1.55%,14436688
ACC,2020-05-05,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,4.73B,41.56,31.92,-1.39%,858187
ACCO,2020-05-05,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,619.29M,5.88,6.3,-5.55%,1406734
ACEL,2020-05-05,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,722.30M,-,9.29,-5.20%,948082
ACGL,2020-05-05,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,10.08B,6.13,23.74,-0.25%,3510361
ACGLO,2020-05-05,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,9.86B,6.32,24.47,-1.69%,56857
ACGLP,2020-05-05,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,9.67B,6.20,24.0,-0.91%,45170
ACH,2020-05-05,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,5.91B,37.33,4.89,-0.81%,155660
ACHC,2020-05-05,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,2.49B,21.15,26.23,21.55%,2127413
ACIA,2020-05-05,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.85B,88.93,68.3,0.53%,934153
