Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
DOC,2020-03-19,1784,Physicians Realty Trust,Financial,REIT - Healthcare Facilities,USA,2.53B,29.69,13.35,14.99%,3593317
DOCU,2020-03-19,1785,"DocuSign, Inc.",Technology,Business Software & Services,USA,15.01B,-,75.88,-0.95%,5642187
DOG,2020-03-19,1786,ProShares Short Dow30,Financial,Exchange Traded Fund,USA,-,-,65.41,-0.79%,1826611
DOGS,2020-03-19,1787,Arrow Dogs of the World ETF,Financial,Exchange Traded Fund,USA,-,-,27.93,2.50%,120
DOGZ,2020-03-19,1788,Dogness (International) Corporation,Consumer Goods,Personal Products,China,36.00M,18.36,1.02,0.99%,10093
DOL,2020-03-19,1789,WisdomTree International LargeCap Dividend Fund,Financial,Exchange Traded Fund,USA,-,-,32.86,1.55%,197337
DOMO,2020-03-19,1790,"Domo, Inc.",Technology,Application Software,USA,267.87M,-,9.16,1.66%,943927
DON,2020-03-19,1791,WisdomTree U.S. MidCap Dividend Fund,Financial,Exchange Traded Fund,USA,-,-,22.64,2.72%,1479390
DOO,2020-03-19,1792,WisdomTree International Dividend ex-Financials Fund,Financial,Exchange Traded Fund,USA,-,-,28.38,1.04%,179284
DOOO,2020-03-19,1793,BRP Inc.,Consumer Goods,Recreational Vehicles,Canada,582.88M,8.28,16.67,8.25%,175301
DOOR,2020-03-19,1794,Masonite International Corporation,Industrial Goods,General Building Materials,USA,1.17B,22.85,42.07,4.73%,330938
DORM,2020-03-19,1795,"Dorman Products, Inc.",Consumer Goods,Auto Parts,USA,2.17B,24.23,66.77,7.52%,425649
DOV,2020-03-19,1796,Dover Corporation,Industrial Goods,Diversified Machinery,USA,11.33B,15.15,70.8,1.35%,1257287
DOW,2020-03-19,1797,Dow Inc.,Basic Materials,Chemicals - Major Diversified,USA,23.22B,-,28.12,6.35%,13875791
DOX,2020-03-19,1798,Amdocs Limited,Technology,Business Software & Services,Channel Islands,7.22B,13.56,46.28,-5.30%,1573253
DOYU,2020-03-19,1799,DouYu International Holdings Limited,Technology,Internet Information Providers,China,2.65B,-,8.04,4.01%,1930513
DPG,2020-03-19,1800,Duff & Phelps Utility and Infrastructure Fund Inc.,Financial,Closed-End Fund - Equity,USA,207.10M,-,7.51,37.55%,328042
DPHC,2020-03-19,1801,DiamondPeak Holdings Corp.,Conglomerates,Conglomerates,USA,337.54M,-,9.6,1.05%,951862
DPK,2020-03-19,1802,Direxion Daily MSCI Developed Markets Bear 3X Shares,Financial,Exchange Traded Fund,USA,-,-,23.31,-5.02%,97819
DPST,2020-03-19,1803,Direxion Daily Regional Banks Bull 3X Shares,Financial,Exchange Traded Fund,USA,-,-,6.02,15.99%,408726
DPW,2020-03-19,1804,"DPW Holdings, Inc.",Technology,Diversified Electronics,USA,3.64M,-,0.69,10.66%,80154
DPZ,2020-03-19,1805,"Domino's Pizza, Inc.",Services,Restaurants,USA,11.76B,30.29,323.14,11.43%,1398467
DQ,2020-03-19,1806,Daqo New Energy Corp.,Technology,Semiconductor Equipment & Materials,China,621.04M,23.43,48.66,13.61%,282406
DRAD,2020-03-19,1807,Digirad Corporation,Healthcare,Medical Appliances & Equipment,USA,9.72M,-,4.49,-0.22%,142707
DRADP,2020-03-19,1808,Digirad Corporation,Healthcare,Medical Appliances & Equipment,USA,-,-,5.4,-10.00%,1
DRD,2020-03-19,1809,DRDGOLD Limited,Basic Materials,Gold,South Africa,520.64M,11.50,5.01,9.15%,336811
DRE,2020-03-19,1810,Duke Realty Corporation,Financial,REIT - Industrial,USA,11.87B,24.78,28.23,-3.06%,4726386
DRH,2020-03-19,1811,DiamondRock Hospitality Company,Financial,REIT - Hotel/Motel,USA,531.54M,2.38,3.44,60.00%,8772907
DRI,2020-03-19,1812,"Darden Restaurants, Inc.",Services,Restaurants,USA,4.93B,6.75,42.42,24.18%,10937964
DRIO,2020-03-19,1813,DarioHealth Corp.,Healthcare,Medical Laboratories & Research,Israel,9.08M,-,3.5,-7.89%,33130
