Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-04-16,1,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,24.41B,32.50,78.75,2.21%,1910980
AA,2020-04-16,2,Alcoa Corporation,Basic Materials,Aluminum,USA,1.27B,-,6.96,-4.13%,7805633
AAAU,2020-04-16,3,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,17.14,-0.29%,393540
AACG,2020-04-16,4,ATA Creativity Global,Services,Education & Training Services,China,24.70M,-,0.85,-1.30%,8237
AADR,2020-04-16,5,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,44.04,1.19%,4552
AAL,2020-04-16,6,American Airlines Group Inc.,Services,Major Airlines,USA,4.81B,2.91,11.07,-9.93%,76814465
AAMC,2020-04-16,7,Altisource Asset Management Corporation,Financial,Asset Management,USA,22.13M,-,13.92,7.29%,1596
AAME,2020-04-16,8,Atlantic American Corporation,Financial,Life Insurance,USA,42.11M,-,1.99,2.42%,1775
AAN,2020-04-16,9,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,1.54B,55.45,23.01,-1.03%,570191
AAOI,2020-04-16,10,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,179.45M,-,8.59,-1.49%,750146
AAON,2020-04-16,11,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.43B,44.63,45.52,-2.36%,273551
AAP,2020-04-16,12,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,8.16B,17.20,117.53,4.95%,1133874
AAPL,2020-04-16,13,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1265.75B,22.64,286.69,0.79%,38297396
AAT,2020-04-16,14,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1.53B,30.28,25.59,-4.69%,467013
AAU,2020-04-16,15,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,40.99M,-,0.37,4.83%,351744
AAWW,2020-04-16,16,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,619.85M,-,23.96,0.29%,437862
AAXJ,2020-04-16,17,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,62.33,0.94%,1030857
AAXN,2020-04-16,18,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,4.32B,5597.69,72.77,-1.83%,627042
AB,2020-04-16,19,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,1.86B,7.99,19.86,-0.55%,425493
ABB,2020-04-16,20,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,36.36B,36.46,17.1,-1.16%,2191240
ABBV,2020-04-16,21,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,121.48B,15.50,81.86,0.05%,10299855
ABC,2020-04-16,22,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,17.87B,27.99,86.28,-2.32%,1656686
ABCB,2020-04-16,23,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1.40B,7.09,20.19,-7.68%,460819
ABEO,2020-04-16,24,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,199.89M,-,2.37,-5.20%,1078910
ABEQ,2020-04-16,25,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,21.21,0.32%,12838
ABEV,2020-04-16,26,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,34.61B,12.50,2.2,-3.93%,21195952
ABG,2020-04-16,27,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.02B,5.55,53.17,-0.06%,315803
ABIO,2020-04-16,28,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,7.76M,-,4.86,12.50%,117784
ABM,2020-04-16,29,ABM Industries Incorporated,Services,Business Services,USA,2.11B,14.81,31.54,3.24%,722408
ABMD,2020-04-16,30,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,7.23B,30.05,160.2,0.41%,242440
ABR,2020-04-16,31,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,569.88M,4.81,6.08,-3.34%,1729327
ABT,2020-04-16,32,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,169.73B,47.50,96.0,5.56%,26860964
ABTX,2020-04-16,33,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,446.14M,8.74,21.61,-4.80%,134511
ABUS,2020-04-16,34,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,81.90M,-,1.2,0.84%,570204
AC,2020-04-16,35,"Associated Capital Group, Inc.",Financial,Asset Management,USA,737.70M,19.17,33.32,-1.65%,25196
ACA,2020-04-16,36,"Arcosa, Inc.",Industrial Goods,Farm & Construction Machinery,USA,1.83B,16.36,37.94,-3.26%,379814
ACAD,2020-04-16,37,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,7.07B,-,46.55,3.01%,1217565
ACAM,2020-04-16,38,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,380.85M,108.79,9.9,-0.66%,950128
ACAMU,2020-04-16,39,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,-,112.64,10.25,0.00%,0
ACB,2020-04-16,40,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,781.57M,3.10,0.67,-5.64%,29026111
ACBI,2020-04-16,41,"Atlantic Capital Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,225.61M,8.57,10.32,-1.81%,123835
ACC,2020-04-16,42,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,4.49B,54.43,32.71,-2.88%,1837841
ACCO,2020-04-16,43,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,527.56M,5.09,5.45,0.93%,552886
ACEL,2020-04-16,44,"Accel Entertainment, Inc.",Services,Gaming Activities,USA,606.47M,-,8.21,-2.61%,129042
ACER,2020-04-16,45,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,17.93M,-,1.69,-9.63%,105935
ACES,2020-04-16,46,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,31.06,0.42%,22977
ACGL,2020-04-16,47,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,10.67B,6.84,26.49,-3.14%,3565803
ACGLO,2020-04-16,48,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,9.75B,6.25,24.19,-0.29%,23166
