Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-05-20,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,25.32B,33.72,81.71,-0.32%,2738787
AA,2020-05-20,Alcoa Corporation,Basic Materials,Aluminum,USA,1.59B,-,8.35,7.88%,10527450
AAL,2020-05-20,American Airlines Group Inc.,Industrials,Airlines,USA,4.22B,-,9.87,2.39%,43631776
AAN,2020-05-20,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.34B,-,33.76,4.62%,686803
AAON,2020-05-20,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.52B,41.09,50.33,0.82%,180431
AAP,2020-05-20,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.42B,19.86,135.72,-0.07%,1176352
AAPL,2020-05-20,Apple Inc.,Technology,Consumer Electronics,USA,1391.88B,25.03,319.23,1.94%,27683576
AAT,2020-05-20,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.56B,33.61,25.81,2.83%,340217
AAWW,2020-05-20,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.10B,-,39.86,2.86%,384070
AAXN,2020-05-20,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,4.66B,-,76.21,1.98%,415327
AB,2020-05-20,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.35B,9.00,23.69,3.54%,313099
ABB,2020-05-20,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,40.24B,41.72,18.94,1.72%,1567093
ABBV,2020-05-20,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,159.34B,16.14,91.19,-0.01%,9942078
ABC,2020-05-20,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,18.48B,12.21,92.73,3.46%,2285509
ABCB,2020-05-20,Ameris Bancorp,Financial,Banks - Regional,USA,1.47B,9.47,21.63,5.20%,358492
ABEV,2020-05-20,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,34.14B,12.33,2.17,3.83%,30069453
ABG,2020-05-20,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,1.35B,8.34,70.71,2.78%,234789
ABM,2020-05-20,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.19B,15.35,32.68,2.54%,258942
ABMD,2020-05-20,"Abiomed, Inc.",Healthcare,Medical Devices,USA,8.81B,44.37,196.36,2.92%,298914
ABR,2020-05-20,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,835.12M,16.23,7.61,3.96%,2057066
ABT,2020-05-20,Abbott Laboratories,Healthcare,Medical Devices,USA,162.71B,45.20,90.09,2.12%,7475566
ABTX,2020-05-20,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,510.70M,12.05,24.9,7.70%,87572
AC,2020-05-20,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,824.98M,-,38.07,4.50%,9574
ACA,2020-05-20,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,1.69B,14.68,35.25,4.41%,237252
ACAD,2020-05-20,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,7.63B,-,52.55,2.96%,814705
ACAM,2020-05-20,Acamar Partners Acquisition Corp.,Industrials,Conglomerates,USA,380.46M,109.56,9.97,-0.30%,175059
ACB,2020-05-20,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.40B,59.03,12.75,-12.97%,23514353
ACC,2020-05-20,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,4.30B,40.76,31.3,3.37%,1198754
ACCO,2020-05-20,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,567.43M,5.22,6.05,2.37%,493746
ACEL,2020-05-20,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,629.65M,-,9.2,3.02%,430224
ACGL,2020-05-20,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,10.71B,8.49,26.54,9.33%,3960252
ACGLO,2020-05-20,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,9.87B,7.85,24.49,-0.53%,17457
ACGLP,2020-05-20,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,9.44B,7.52,23.44,0.17%,46335
ACH,2020-05-20,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,6.24B,38.85,5.09,1.60%,66491
ACHC,2020-05-20,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,2.37B,20.94,26.91,3.58%,892804
ACIA,2020-05-20,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.85B,69.75,67.31,1.16%,791166
ACIU,2020-05-20,AC Immune SA,Healthcare,Biotechnology,Switzerland,509.55M,-,7.43,1.92%,41225
ACIW,2020-05-20,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,3.01B,46.16,26.45,5.09%,915930
ACLS,2020-05-20,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,888.58M,38.73,25.33,2.43%,289115
ACM,2020-05-20,AECOM,Industrials,Engineering & Construction,USA,5.50B,-,35.52,4.72%,1601286
ACMR,2020-05-20,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.02B,56.20,55.08,-16.15%,1354458
ACN,2020-05-20,Accenture plc,Technology,Information Technology Services,Ireland,126.44B,25.35,195.18,2.68%,2284669
ACTT,2020-05-20,Act II Global Acquisition Corp.,Financial,Shell Companies,USA,376.92M,-,10.07,0.40%,393922
ADAP,2020-05-20,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,665.70M,-,5.47,5.80%,556790
ADBE,2020-05-20,Adobe Inc.,Technology,Software - Infrastructure,USA,184.91B,58.08,383.63,3.07%,2769568
ADC,2020-05-20,Agree Realty Corporation,Real Estate,REIT - Retail,USA,3.25B,31.85,61.16,0.10%,297913
