Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-05-04,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,23.85B,30.77,74.56,0.47%,1508090
AA,2020-05-04,Alcoa Corporation,Basic Materials,Aluminum,USA,1.54B,-,7.8,1.43%,6861346
AAL,2020-05-04,American Airlines Group Inc.,Industrials,Airlines,USA,4.69B,-,9.82,-7.71%,124246958
AAN,2020-05-04,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.16B,74.60,30.96,1.47%,766986
AAON,2020-05-04,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.48B,44.52,45.41,0.00%,245570
AAP,2020-05-04,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,8.61B,17.57,120.11,3.02%,460270
AAPL,2020-05-04,Apple Inc.,Technology,Consumer Electronics,USA,1303.71B,23.15,293.16,1.41%,32959474
AAT,2020-05-04,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.70B,35.57,27.32,-0.22%,423251
AAWW,2020-05-04,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,877.83M,-,32.89,2.94%,848745
AAXN,2020-05-04,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,4.19B,5153.85,67.0,-3.62%,866091
AB,2020-05-04,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.37B,8.56,22.54,3.63%,260074
ABB,2020-05-04,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,40.19B,39.89,18.11,-1.52%,2270588
ABBV,2020-05-04,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,121.48B,15.50,81.86,-1.18%,6772813
ABC,2020-05-04,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,18.47B,28.04,86.42,0.05%,1347832
ABCB,2020-05-04,Ameris Bancorp,Financial,Banks - Regional,USA,1.80B,10.56,24.11,1.73%,349127
ABEV,2020-05-04,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,33.83B,12.22,2.15,2.87%,25277806
ABG,2020-05-04,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,1.31B,6.89,65.98,0.38%,267913
ABM,2020-05-04,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.24B,15.20,32.36,-2.65%,551222
ABMD,2020-05-04,"Abiomed, Inc.",Healthcare,Medical Devices,USA,8.50B,40.89,181.0,-1.36%,620922
ABR,2020-05-04,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,770.18M,5.34,6.75,1.05%,1924876
ABT,2020-05-04,Abbott Laboratories,Healthcare,Medical Devices,USA,162.86B,45.07,89.83,-0.02%,4898614
ABTX,2020-05-04,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,492.89M,9.56,23.64,-3.43%,102701
AC,2020-05-04,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,864.55M,20.87,36.28,0.83%,10210
ACA,2020-05-04,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,1.77B,14.49,34.8,-1.22%,437369
