Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-04-27,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,23.64B,31.47,76.25,0.66%,1289065
AA,2020-04-27,Alcoa Corporation,Basic Materials,Aluminum,USA,1.42B,-,7.37,3.08%,9535446
AAAU,2020-04-27,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,17.13,-0.58%,395416
AACG,2020-04-27,ATA Creativity Global,Services,Education & Training Services,China,19.64M,-,0.67,-10.27%,62111
AADR,2020-04-27,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,45.78,1.71%,3965
AAL,2020-04-27,American Airlines Group Inc.,Services,Major Airlines,USA,4.28B,2.63,10.02,-2.81%,66721185
AAMC,2020-04-27,Altisource Asset Management Corporation,Financial,Asset Management,USA,21.18M,-,13.58,-2.68%,159
AAME,2020-04-27,Atlantic American Corporation,Financial,Life Insurance,USA,33.33M,-,1.63,0.00%,4237
AAN,2020-04-27,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,1.79B,64.63,26.82,4.36%,590185
AAOI,2020-04-27,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,189.93M,-,9.77,7.48%,703492
AAON,2020-04-27,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.38B,47.11,48.05,0.80%,277867
AAP,2020-04-27,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,8.19B,17.40,118.95,1.16%,771496
AAPL,2020-04-27,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1243.82B,22.36,283.17,0.07%,29205480
AAT,2020-04-27,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1.66B,32.65,27.59,6.20%,224774
AAU,2020-04-27,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,48.04M,-,0.43,10.26%,504701
AAWW,2020-04-27,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,811.15M,-,31.44,5.79%,1258656
AAXJ,2020-04-27,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,63.86,1.77%,607689
AAXN,2020-04-27,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,4.47B,5550.00,72.15,0.43%,594693
AB,2020-04-27,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.07B,8.46,21.05,4.52%,403283
ABB,2020-04-27,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,38.88B,38.21,17.92,2.93%,2234173
ABBV,2020-04-27,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,125.68B,16.04,84.69,1.32%,9172957
ABC,2020-04-27,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,18.53B,29.45,90.78,2.34%,1912079
ABCB,2020-04-27,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1.72B,8.64,24.61,9.28%,350289
ABEO,2020-04-27,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,210.72M,-,2.53,2.85%,1093567
ABEQ,2020-04-27,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,21.99,1.28%,5228
ABEV,2020-04-27,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,32.72B,11.82,2.08,4.00%,28342652
ABG,2020-04-27,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.16B,6.33,60.63,3.69%,222934
ABIO,2020-04-27,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,6.15M,-,3.85,-3.26%,11939
ABM,2020-04-27,ABM Industries Incorporated,Services,Business Services,USA,2.21B,15.52,33.04,4.56%,337494
ABMD,2020-04-27,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,7.38B,30.66,163.47,-3.00%,1131003
ABR,2020-04-27,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,663.80M,4.85,6.14,2.33%,1869112
ABT,2020-04-27,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,170.18B,47.64,94.95,0.95%,6816117
ABTX,2020-04-27,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,491.01M,9.86,24.38,7.50%,85965
ABUS,2020-04-27,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,78.08M,-,1.19,-1.65%,202671
AC,2020-04-27,"Associated Capital Group, Inc.",Financial,Asset Management,USA,814.54M,20.86,36.25,0.47%,22652
ACA,2020-04-27,"Arcosa, Inc.",Industrial Goods,Farm & Construction Machinery,USA,1.90B,16.97,39.36,2.79%,269030
ACAD,2020-04-27,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,8.10B,-,51.89,1.88%,1892489
ACAM,2020-04-27,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,383.53M,110.33,10.04,0.60%,791
ACAMU,2020-04-27,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,-,112.64,10.25,0.00%,0
ACB,2020-04-27,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,888.42M,3.52,0.76,4.11%,35776791
ACBI,2020-04-27,"Atlantic Capital Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,256.19M,10.04,12.09,9.91%,64576
ACC,2020-04-27,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,4.65B,42.49,32.63,9.20%,1768970
ACCO,2020-04-27,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,632.10M,6.10,6.53,11.05%,738009
ACEL,2020-04-27,"Accel Entertainment, Inc.",Services,Gaming Activities,USA,672.80M,-,9.18,7.49%,132824
ACER,2020-04-27,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,21.61M,-,2.1,6.06%,45724
ACES,2020-04-27,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,32.77,3.80%,34843
ACGL,2020-04-27,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,10.33B,6.36,24.65,4.27%,3080481
ACGLO,2020-04-27,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,9.98B,6.40,24.76,0.16%,27586
ACGLP,2020-04-27,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,9.74B,6.24,24.16,-0.49%,32997
ACH,2020-04-27,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,6.28B,38.40,5.03,1.62%,92937
