Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-04-01,1,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,22.19B,28.44,68.92,-3.77%,2147548
AA,2020-04-01,2,Alcoa Corporation,Basic Materials,Aluminum,USA,1.21B,-,6.25,1.46%,10417976
AAAU,2020-04-01,3,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,15.87,0.95%,296162
AACG,2020-04-01,4,ATA Creativity Global,Services,Education & Training Services,China,27.85M,-,0.95,0.05%,1883
AADR,2020-04-01,5,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,39.03,-3.25%,5722
AAL,2020-04-01,6,American Airlines Group Inc.,Services,Major Airlines,USA,5.08B,2.81,10.69,-12.31%,56496430
AAMC,2020-04-01,7,Altisource Asset Management Corporation,Financial,Asset Management,USA,22.30M,-,13.85,0.36%,7157
AAME,2020-04-01,8,Atlantic American Corporation,Financial,Life Insurance,USA,44.63M,-,2.15,1.90%,645
AAN,2020-04-01,9,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,1.32B,47.57,19.74,-13.35%,1420964
AAOI,2020-04-01,10,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,137.76M,-,7.32,-3.56%,348842
AAON,2020-04-01,11,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.56B,45.96,46.88,-2.98%,260414
AAP,2020-04-01,12,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,6.27B,13.05,89.17,-4.45%,1163381
AAPL,2020-04-01,13,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1099.62B,19.03,240.91,-5.26%,43601049
AAT,2020-04-01,14,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1.34B,26.75,22.6,-9.60%,437512
AAU,2020-04-01,15,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,29.60M,-,0.26,-6.59%,241740
AAWW,2020-04-01,16,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,678.74M,-,23.95,-6.70%,579489
AAXJ,2020-04-01,17,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,57.07,-4.44%,2005431
AAXN,2020-04-01,18,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,3.96B,4978.46,64.72,-8.55%,689155
AB,2020-04-01,19,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,1.76B,6.82,16.97,-8.71%,390457
ABB,2020-04-01,20,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,37.65B,35.37,16.59,-3.88%,3682560
ABBV,2020-04-01,21,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,110.15B,13.90,73.42,-3.64%,12893297
ABC,2020-04-01,22,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,18.27B,27.98,86.23,-2.56%,1334279
ABCB,2020-04-01,23,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1.59B,7.92,22.54,-5.13%,433840
ABEO,2020-04-01,24,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,169.63M,-,1.99,-5.24%,2770437
ABEQ,2020-04-01,25,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,19.7,-2.52%,870
ABEV,2020-04-01,26,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,35.39B,12.78,2.25,-2.17%,29219563
ABG,2020-04-01,27,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,998.39M,4.94,47.25,-14.45%,619315
ABIO,2020-04-01,28,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,4.38M,-,2.69,-3.58%,10944
ABM,2020-04-01,29,ABM Industries Incorporated,Services,Business Services,USA,1.56B,10.97,23.36,-4.11%,530043
ABMD,2020-04-01,30,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,6.69B,27.10,144.48,-0.47%,765745
ABR,2020-04-01,31,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,478.80M,3.60,4.55,-7.14%,2583048
ABT,2020-04-01,32,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,137.29B,37.89,76.57,-2.97%,12180190
ABTX,2020-04-01,33,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,487.95M,9.00,22.24,-7.76%,123330
ABUS,2020-04-01,34,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,136.49M,-,1.06,4.95%,971063
AC,2020-04-01,35,"Associated Capital Group, Inc.",Financial,Asset Management,USA,603.45M,15.06,26.18,-14.44%,41412
ACA,2020-04-01,36,"Arcosa, Inc.",Industrial Goods,Farm & Construction Machinery,USA,1.94B,16.13,37.4,-5.89%,496420
ACAD,2020-04-01,37,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,6.21B,-,39.26,-7.08%,1308624
ACAM,2020-04-01,38,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,378.50M,-,10.0,1.52%,7300
ACAMU,2020-04-01,39,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,-,-,9.9,0.00%,3000
ACB,2020-04-01,40,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,945.70M,3.75,0.81,-10.70%,31222722
ACBI,2020-04-01,41,"Atlantic Capital Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,234.46M,8.80,10.59,-10.78%,94833
ACC,2020-04-01,42,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,3.47B,42.05,25.27,-8.94%,2453106
ACCO,2020-04-01,43,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,449.77M,4.38,4.69,-7.13%,879689
ACEL,2020-04-01,44,TPG Pace Holdings Corp.,Services,Gaming Activities,USA,598.87M,-,7.42,-1.07%,233682
ACER,2020-04-01,45,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,20.91M,-,1.74,-12.81%,42307
ACES,2020-04-01,46,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,26.91,-6.27%,26755
ACGL,2020-04-01,47,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,10.80B,6.71,26.02,-8.57%,1982189
ACGLO,2020-04-01,48,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,8.69B,5.57,21.56,-3.10%,65159
ACGLP,2020-04-01,49,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,8.87B,5.69,22.02,-4.01%,71842
ACH,2020-04-01,50,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,5.77B,60.91,4.69,-6.20%,93261
ACHC,2020-04-01,51,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,1.53B,13.84,17.16,-6.49%,1381095
ACHV,2020-04-01,52,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,9.33M,-,0.32,-2.54%,540887
ACIA,2020-04-01,53,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.78B,86.85,66.7,-0.71%,1239207
ACIO,2020-04-01,54,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,22.48,-6.37%,20392
ACIU,2020-04-01,55,AC Immune SA,Healthcare,Biotechnology,Switzerland,505.15M,9.41,7.15,3.47%,257948
ACIW,2020-04-01,56,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,2.82B,40.11,22.46,-7.00%,925350
ACLS,2020-04-01,57,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,645.93M,34.86,17.5,-4.42%,266835
ACM,2020-04-01,58,AECOM,Services,Technical Services,USA,4.45B,-,27.19,-8.91%,1911621
ACMR,2020-04-01,59,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,522.47M,27.90,27.34,-7.67%,361424
ACN,2020-04-01,60,Accenture plc,Technology,Information Technology Services,Ireland,107.69B,20.09,154.68,-5.26%,2966920
ACNB,2020-04-01,61,ACNB Corporation,Financial,Regional - Southwest Banks,USA,255.10M,7.44,25.01,-16.63%,48022
ACOR,2020-04-01,62,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,40.76M,-,0.8,-14.71%,1495859
ACP,2020-04-01,63,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,United Kingdom,116.80M,-,6.7,-8.84%,195857
ACRE,2020-04-01,64,Ares Commercial Real Estate Corporation,Financial,Mortgage Investment,USA,153.40M,4.34,5.57,-20.31%,671502
ACRS,2020-04-01,65,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,44.73M,-,1.04,0.00%,215155
ACRX,2020-04-01,66,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment,USA,86.05M,-,1.03,-12.71%,753831
ACSG,2020-04-01,67,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Financial,Exchange Traded Fund,USA,-,-,21.01,-4.13%,909
ACSI,2020-04-01,68,American Customer Satisfaction ETF,Financial,Exchange Traded Fund,USA,-,-,26.49,-5.38%,90
ACST,2020-04-01,69,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,29.77M,-,0.33,-13.04%,1022207
ACT,2020-04-01,70,AdvisorShares Vice ETF,Financial,Exchange Traded Fund,USA,-,-,18.33,-3.59%,5254
ACTG,2020-04-01,71,Acacia Research Corporation,Services,Business Services,USA,117.72M,-,2.2,-0.90%,300959
ACTT,2020-04-01,72,Act II Global Acquisition Corp.,Conglomerates,Conglomerates,USA,296.70M,-,9.89,0.20%,56163
ACTTU,2020-04-01,73,Act II Global Acquisition Corp.,Conglomerates,Conglomerates,USA,-,-,9.85,0.00%,0
ACU,2020-04-01,74,Acme United Corporation,Consumer Goods,Housewares & Accessories,USA,69.24M,12.63,20.07,-0.99%,5982
ACV,2020-04-01,75,AllianzGI Diversified Income & Convertible Fund,Consumer Goods,Personal Products,USA,-,-,16.89,-6.11%,57400
ACWF,2020-04-01,76,iShares Edge MSCI Multifactor Global ETF,Financial,Exchange Traded Fund,USA,-,-,23.0,-3.97%,10351
ACWI,2020-04-01,77,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,-,59.7,-4.59%,4057645
ACWV,2020-04-01,78,iShares Edge MSCI Min Vol Global ETF,Financial,Exchange Traded Fund,USA,-,-,77.94,-2.99%,990504
ACWX,2020-04-01,79,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA,-,-,35.85,-4.78%,4048593
ACY,2020-04-01,80,AeroCentury Corp.,Services,Rental & Leasing Services,USA,1.67M,-,0.9,-10.00%,50047
ADAP,2020-04-01,81,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,336.77M,-,2.58,-5.15%,194152
ADBE,2020-04-01,82,Adobe Inc.,Technology,Application Software,USA,153.11B,45.60,301.21,-5.35%,3867686
ADC,2020-04-01,83,Agree Realty Corporation,Financial,Property Management,USA,2.75B,31.39,60.64,-2.04%,1400012
ADES,2020-04-01,84,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,106.18M,2.95,5.73,-12.79%,168789
ADI,2020-04-01,85,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,USA,32.34B,26.00,84.09,-6.20%,3228791
ADIL,2020-04-01,86,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,11.83M,-,1.2,-7.69%,46576
ADM,2020-04-01,87,Archer-Daniels-Midland Company,Consumer Goods,Farm Products,USA,19.41B,13.49,33.87,-3.72%,3482128
ADMA,2020-04-01,88,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,215.15M,-,2.46,-14.58%,1644955
ADME,2020-04-01,89,Aptus Drawdown Managed Equity ETF,Financial,Exchange Traded Fund,USA,-,-,27.45,-2.43%,14060
ADMP,2020-04-01,90,Adamis Pharmaceuticals Corporation,Healthcare,Drug Delivery,USA,34.87M,-,0.42,17.10%,4195968
ADMS,2020-04-01,91,"Adamas Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,78.50M,-,2.68,-7.27%,421096
ADNT,2020-04-01,92,Adient plc,Consumer Goods,Auto Parts,Ireland,898.51M,-,7.56,-16.65%,2348844
ADP,2020-04-01,93,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,58.43B,22.93,129.72,-5.09%,2899854
ADPT,2020-04-01,94,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,3.58B,-,27.51,-0.97%,781142
