Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-05-15,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,25.29B,33.67,81.59,-0.06%,4358319
AA,2020-05-15,Alcoa Corporation,Basic Materials,Aluminum,USA,1.24B,-,6.66,-2.20%,6687947
AAL,2020-05-15,American Airlines Group Inc.,Industrials,Airlines,USA,3.85B,-,9.04,-1.20%,38963723
AAN,2020-05-15,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.09B,-,31.3,-2.43%,912380
AAON,2020-05-15,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.47B,46.81,47.75,3.94%,239560
AAP,2020-05-15,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,8.75B,18.44,126.06,4.07%,1294242
AAPL,2020-05-15,Apple Inc.,Technology,Consumer Electronics,USA,1341.65B,24.12,307.71,-0.59%,41061351
AAT,2020-05-15,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.46B,31.74,24.38,-0.81%,823864
AAWW,2020-05-15,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,917.25M,-,35.47,-4.93%,508651
AAXN,2020-05-15,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,3.61B,-,73.91,-2.24%,569449
AB,2020-05-15,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.06B,8.08,21.27,-1.30%,345846
ABB,2020-05-15,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,37.50B,38.90,17.66,0.86%,1865794
ABBV,2020-05-15,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,134.36B,17.18,90.71,0.86%,11605591
ABC,2020-05-15,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,17.79B,11.29,85.75,2.05%,1681619
ABCB,2020-05-15,Ameris Bancorp,Financial,Banks - Regional,USA,1.35B,8.48,19.36,2.06%,868407
ABEV,2020-05-15,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,31.78B,11.48,2.02,-0.98%,31637006
ABG,2020-05-15,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,1.19B,7.35,62.3,2.72%,155263
ABM,2020-05-15,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.11B,14.83,31.57,3.78%,609468
ABMD,2020-05-15,"Abiomed, Inc.",Healthcare,Medical Devices,USA,8.38B,41.78,184.92,0.35%,263757
ABR,2020-05-15,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,715.72M,5.11,6.46,0.47%,1848697
ABT,2020-05-15,Abbott Laboratories,Healthcare,Medical Devices,USA,159.49B,45.10,89.89,-2.06%,13562287
ABTX,2020-05-15,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,430.68M,10.82,22.35,-0.53%,637770
AC,2020-05-15,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,823.30M,20.34,35.35,3.30%,38902
ACA,2020-05-15,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,1.55B,13.45,32.3,0.37%,226985
ACAD,2020-05-15,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,7.71B,-,50.83,7.33%,1242464
ACAM,2020-05-15,Acamar Partners Acquisition Corp.,Industrials,Conglomerates,USA,380.19M,110.44,10.05,0.10%,10010
ACB,2020-05-15,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,13.09B,51.85,11.2,68.67%,101796024
ACC,2020-05-15,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,3.93B,37.07,28.47,3.49%,3042315
ACCO,2020-05-15,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,537.60M,4.83,5.6,0.72%,477763
ACEL,2020-05-15,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,680.28M,-,8.29,14.34%,317683
ACGL,2020-05-15,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,9.26B,7.35,22.98,0.57%,2631465
ACGLO,2020-05-15,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,9.69B,7.71,24.06,-0.29%,12159
ACGLP,2020-05-15,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,9.28B,7.38,23.03,-0.56%,44644
ACH,2020-05-15,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,5.57B,36.49,4.78,-0.62%,46570
ACHC,2020-05-15,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,2.17B,19.24,24.72,1.04%,552719
ACIA,2020-05-15,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.80B,69.70,67.26,-1.23%,1669653
ACIU,2020-05-15,AC Immune SA,Healthcare,Biotechnology,Switzerland,518.74M,-,7.45,4.78%,132915
ACIW,2020-05-15,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,2.81B,42.48,24.34,1.97%,1028578
ACLS,2020-05-15,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,760.40M,35.96,23.52,-6.28%,350991
ACM,2020-05-15,AECOM,Industrials,Engineering & Construction,USA,4.99B,-,32.02,3.32%,1865388
