Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-06-01,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,27.87B,41.26,89.91,2.01%,2415238
AA,2020-06-01,Alcoa Corporation,Basic Materials,Aluminum,USA,1.82B,-,9.49,3.04%,5484355
AAL,2020-06-01,American Airlines Group Inc.,Industrials,Airlines,USA,4.91B,-,11.11,5.81%,50108912
AAN,2020-06-01,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,2.49B,-,37.33,1.14%,727731
AAON,2020-06-01,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.83B,44.30,54.27,0.18%,306932
AAP,2020-06-01,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.67B,25.48,139.79,0.34%,839839
AAPL,2020-06-01,Apple Inc.,Technology,Consumer Electronics,USA,1396.37B,25.23,321.85,1.23%,20083749
AAT,2020-06-01,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.66B,34.62,26.59,1.60%,271199
AAWW,2020-06-01,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.06B,-,40.76,4.35%,565369
AAXN,2020-06-01,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,5.35B,-,89.75,18.15%,4953695
AB,2020-06-01,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.53B,9.71,25.55,2.32%,332069
ABB,2020-06-01,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,43.58B,43.70,19.84,0.92%,1688522
ABBV,2020-06-01,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,155.29B,16.05,90.7,-2.13%,8456723
ABC,2020-06-01,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,19.16B,12.53,95.15,-0.20%,983561
ABCB,2020-06-01,Ameris Bancorp,Financial,Banks - Regional,USA,1.71B,10.53,24.06,-0.70%,444801
ABEV,2020-06-01,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,37.29B,13.47,2.37,2.60%,50362513
ABG,2020-06-01,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,1.48B,8.58,72.75,0.65%,157074
ABM,2020-06-01,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.34B,15.14,32.23,4.88%,961160
ABMD,2020-06-01,"Abiomed, Inc.",Healthcare,Medical Devices,USA,10.19B,51.07,226.14,1.00%,354775
ABR,2020-06-01,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,966.22M,19.20,8.62,2.38%,1764539
ABT,2020-06-01,Abbott Laboratories,Healthcare,Medical Devices,USA,164.53B,46.67,93.01,-2.01%,5348182
ABTX,2020-06-01,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,531.02M,12.30,25.42,-0.74%,86552
AC,2020-06-01,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,917.55M,-,38.52,-6.25%,15753
ACA,2020-06-01,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,1.83B,15.73,37.76,-1.07%,278003
ACAD,2020-06-01,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,7.77B,-,48.89,-1.59%,1209187
ACAM,2020-06-01,Acamar Partners Acquisition Corp.,Industrials,Conglomerates,USA,380.84M,123.21,9.98,0.00%,0
ACB,2020-06-01,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.55B,65.28,14.1,0.14%,7858700
ACC,2020-06-01,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,4.86B,44.40,34.1,5.57%,1419360
ACCO,2020-06-01,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,598.88M,5.34,6.19,0.00%,574668
