Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-03-12,1,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,20.11B,26.17,63.42,-7.87%,4892192
AA,2020-03-12,2,Alcoa Corporation,Basic Materials,Aluminum,USA,1.51B,-,7.51,-18.37%,12625534
AAAU,2020-03-12,3,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,15.67,-4.04%,394648
AACG,2020-03-12,4,ATA Creativity Global,Services,Education & Training Services,China,24.42M,-,0.9,-6.49%,32721
AADR,2020-03-12,5,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,38.17,-15.35%,323770
AAL,2020-03-12,6,American Airlines Group Inc.,Services,Major Airlines,USA,5.76B,3.53,13.45,-17.28%,53399090
AAMC,2020-03-12,7,Altisource Asset Management Corporation,Financial,Asset Management,USA,27.97M,-,17.48,-12.34%,6372
AAME,2020-03-12,8,Atlantic American Corporation,Financial,Life Insurance,USA,52.01M,-,2.52,-2.36%,1614
AAN,2020-03-12,9,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,1.91B,66.89,27.76,-7.90%,1457271
AAOI,2020-03-12,10,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,118.20M,-,5.68,-19.32%,1053807
AAON,2020-03-12,11,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.14B,40.46,41.27,-6.67%,795144
AAP,2020-03-12,12,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,7.58B,15.97,109.17,-13.10%,1720175
AAPL,2020-03-12,13,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1100.74B,19.60,248.23,-9.88%,102420440
AAT,2020-03-12,14,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1.87B,36.00,30.42,-14.65%,471577
AAU,2020-03-12,15,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,33.48M,-,0.29,-5.51%,613652
AAWW,2020-03-12,16,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,445.34M,-,16.42,-8.70%,1523042
AAXJ,2020-03-12,17,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,58.83,-8.96%,4046698
AAXN,2020-03-12,18,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,3.41B,4363.08,56.72,-6.20%,1225188
AB,2020-03-12,19,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.26B,9.07,22.56,-15.22%,1867041
ABB,2020-03-12,20,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,37.22B,35.88,16.83,-10.62%,3981316
ABBV,2020-03-12,21,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,118.84B,14.89,78.61,-7.35%,19751924
ABC,2020-03-12,22,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,16.80B,26.12,80.49,-5.26%,6016573
ABCB,2020-03-12,23,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1.77B,8.46,24.09,-6.41%,802453
ABEO,2020-03-12,24,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,158.69M,-,1.73,-21.00%,2018457
ABEQ,2020-03-12,25,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,20.15,-7.68%,7977
ABEV,2020-03-12,26,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,41.06B,14.83,2.61,-8.42%,44560415
ABG,2020-03-12,27,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.15B,6.13,58.7,-18.93%,297368
ABIO,2020-03-12,28,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,4.81M,-,3.01,-5.64%,41760
ABM,2020-03-12,29,ABM Industries Incorporated,Services,Business Services,USA,1.67B,12.65,24.17,-17.82%,605917
ABMD,2020-03-12,30,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,6.07B,25.69,136.97,-9.37%,1051719
ABR,2020-03-12,31,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,941.88M,6.62,8.37,-17.37%,3351591
ABT,2020-03-12,32,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,132.14B,36.98,74.74,-4.29%,13839639
ABTX,2020-03-12,33,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,533.74M,9.96,24.45,-6.86%,164461
ABUS,2020-03-12,34,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,144.91M,-,2.31,-10.47%,637898
