Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,2020-03-09,1,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,22.44B,29.20,70.75,-9.94%,4595920
AA,2020-03-09,2,Alcoa Corporation,Basic Materials,Aluminum,USA,1.74B,-,8.69,-21.07%,9938253
AAAU,2020-03-09,3,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,16.73,0.24%,284729
AACG,2020-03-09,4,ATA Creativity Global,Services,Education & Training Services,China,26.38M,-,0.97,-3.00%,23679
AADR,2020-03-09,5,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,46.2,-6.86%,16194
AAL,2020-03-09,6,American Airlines Group Inc.,Services,Major Airlines,USA,6.31B,3.88,14.75,-7.64%,42318018
AAMC,2020-03-09,7,Altisource Asset Management Corporation,Financial,Asset Management,USA,32.81M,-,20.51,-14.34%,1170
AAME,2020-03-09,8,Atlantic American Corporation,Financial,Life Insurance,USA,52.63M,-,2.55,2.00%,2692
AAN,2020-03-09,9,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,2.23B,78.12,32.42,-6.76%,989592
AAOI,2020-03-09,10,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,160.65M,-,7.72,-12.17%,1213801
AAON,2020-03-09,11,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2.68B,50.67,51.68,-12.36%,420476
AAP,2020-03-09,12,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,9.05B,19.07,130.36,1.92%,1728358
AAPL,2020-03-09,13,Apple Inc.,Consumer Goods,Electronic Equipment,USA,1180.30B,21.02,266.17,-7.91%,70633541
AAT,2020-03-09,14,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,2.29B,44.15,37.31,-9.62%,446266
AAU,2020-03-09,15,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,38.64M,-,0.33,-9.17%,270110
AAWW,2020-03-09,16,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,565.12M,-,20.83,-8.88%,1141378
AAXJ,2020-03-09,17,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,64.79,-4.85%,2760174
AAXN,2020-03-09,18,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,3.97B,5085.38,66.11,-11.19%,1022471
AB,2020-03-09,19,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.76B,11.06,27.51,-9.83%,1302990
ABB,2020-03-09,20,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,42.06B,40.55,19.02,-9.51%,3412350
ABBV,2020-03-09,21,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,128.91B,16.15,85.27,-4.00%,15769322
ABC,2020-03-09,22,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,17.38B,27.02,83.27,-2.96%,3669246
ABCB,2020-03-09,23,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1.99B,9.51,27.08,-16.16%,406586
ABEO,2020-03-09,24,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,216.48M,-,2.36,-13.24%,1501314
ABEQ,2020-03-09,25,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,21.68,-6.19%,2359
ABEV,2020-03-09,26,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,48.45B,17.50,3.08,-7.51%,79886595
ABG,2020-03-09,27,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1.57B,8.38,80.21,-7.83%,291488
ABIO,2020-03-09,28,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,5.41M,-,3.39,-10.79%,32060
ABM,2020-03-09,29,ABM Industries Incorporated,Services,Business Services,USA,2.18B,16.51,31.54,-6.96%,363079
ABMD,2020-03-09,30,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,6.93B,29.33,156.37,-0.45%,1035694
ABR,2020-03-09,31,"Arbor Realty Trust, Inc.",Financial,Mortgage Investment,USA,1.20B,8.41,10.64,-11.99%,2214195
ABT,2020-03-09,32,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,136.17B,38.11,77.02,-5.77%,10273820
ABTX,2020-03-09,33,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,584.17M,10.90,26.76,-11.36%,146611
ABUS,2020-03-09,34,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,173.13M,-,2.76,-7.07%,253783
AC,2020-03-09,35,"Associated Capital Group, Inc.",Financial,Asset Management,USA,909.67M,22.61,39.21,0.20%,7563
ACA,2020-03-09,36,"Arcosa, Inc.",Industrial Goods,Farm & Construction Machinery,USA,1.86B,15.85,36.75,-11.38%,332836
ACAD,2020-03-09,37,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,6.47B,-,39.32,-6.18%,1198150
ACAM,2020-03-09,38,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,305.73M,-,10.01,-0.94%,97
ACAMU,2020-03-09,39,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,700.37M,-,10.33,0.00%,0
ACB,2020-03-09,40,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,1.11B,4.39,0.95,-18.89%,27648469
ACBI,2020-03-09,41,"Atlantic Capital Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,341.36M,12.38,14.9,-11.73%,89684
ACC,2020-03-09,42,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,5.77B,70.02,42.08,-6.90%,1345413
ACCO,2020-03-09,43,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,710.09M,6.83,7.31,-8.97%,835587
ACEL,2020-03-09,44,"Accel Entertainment, Inc.",Services,Gaming Activities,USA,764.83M,-,9.87,-8.44%,252136
ACER,2020-03-09,45,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,32.13M,-,3.15,-10.00%,49751
ACES,2020-03-09,46,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,34.02,-11.01%,70611
ACGL,2020-03-09,47,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,15.08B,9.46,36.65,-9.95%,1661486
ACGLO,2020-03-09,48,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,10.21B,6.55,25.34,-3.21%,36085
ACGLP,2020-03-09,49,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,10.05B,6.44,24.93,-1.97%,78360
ACH,2020-03-09,50,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,6.86B,77.85,6.15,-4.65%,47095
ACHC,2020-03-09,51,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,2.46B,21.60,26.78,-9.16%,1148258
ACHV,2020-03-09,52,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,9.14M,-,0.43,-9.47%,581828
ACIA,2020-03-09,53,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,2.70B,81.74,62.78,-3.62%,1438789
ACIO,2020-03-09,54,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,23.96,-1.74%,51312
ACIU,2020-03-09,55,AC Immune SA,Healthcare,Biotechnology,Switzerland,428.39M,7.67,5.94,-14.53%,136837
ACIW,2020-03-09,56,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,3.32B,51.68,28.94,-2.85%,1443829
ACLS,2020-03-09,57,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,714.71M,43.53,21.85,-6.90%,334603
ACM,2020-03-09,58,AECOM,Services,Technical Services,USA,6.45B,-,38.53,-13.96%,4396691
ACMR,2020-03-09,59,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,541.55M,29.58,27.01,-15.67%,561847
ACN,2020-03-09,60,Accenture plc,Technology,Information Technology Services,Ireland,110.11B,21.90,164.11,-8.19%,5105344
ACNB,2020-03-09,61,ACNB Corporation,Financial,Regional - Southwest Banks,USA,249.45M,8.30,28.06,-10.41%,16090
ACOR,2020-03-09,62,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,49.51M,-,1.04,-11.11%,1226872
ACP,2020-03-09,63,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,United Kingdom,173.10M,-,9.93,-10.70%,314866
ACRE,2020-03-09,64,Ares Commercial Real Estate Corporation,Financial,Mortgage Investment,USA,478.06M,10.95,14.04,-9.65%,510111
ACRS,2020-03-09,65,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,42.64M,-,0.99,-10.78%,355556
ACRX,2020-03-09,66,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment,USA,99.85M,-,1.31,-8.39%,658636
ACSG,2020-03-09,67,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Financial,Exchange Traded Fund,USA,-,-,23.54,-7.31%,444
ACSI,2020-03-09,68,American Customer Satisfaction ETF,Financial,Exchange Traded Fund,USA,-,-,30.86,-6.68%,1333
ACST,2020-03-09,69,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,33.83M,-,0.38,-10.33%,1297746
ACT,2020-03-09,70,AdvisorShares Vice ETF,Financial,Exchange Traded Fund,USA,-,-,21.03,-7.13%,5855
ACTG,2020-03-09,71,Acacia Research Corporation,Services,Business Services,USA,109.75M,-,2.16,-2.70%,448428
ACTT,2020-03-09,72,Act II Global Acquisition Corp.,Conglomerates,Conglomerates,USA,303.00M,-,10.1,-1.17%,2649514
ACTTU,2020-03-09,73,Act II Global Acquisition Corp.,Conglomerates,Conglomerates,USA,-,-,11.0,0.00%,0
ACU,2020-03-09,74,Acme United Corporation,Consumer Goods,Housewares & Accessories,USA,79.93M,15.84,23.44,0.26%,1632
ACV,2020-03-09,75,AllianzGI Diversified Income & Convertible Fund,Consumer Goods,Personal Products,USA,224.35M,-,21.72,-5.85%,89525
ACWF,2020-03-09,76,iShares Edge MSCI Multifactor Global ETF,Financial,Exchange Traded Fund,USA,-,-,26.11,-7.47%,30928
ACWI,2020-03-09,77,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,-,66.79,-7.53%,15529545
ACWV,2020-03-09,78,iShares Edge MSCI Min Vol Global ETF,Financial,Exchange Traded Fund,USA,-,-,88.11,-5.28%,808402
