Symbol,ETF Name
RSP,Invesco S&P 500® Equal Weight ETF
IWP,iShares Russell Midcap Growth ETF
JPST,JPMorgan Ultra-Short Income ETF
IEI,iShares 3-7 Year Treasury Bond ETF
VMBS,Vanguard Mortgage-Backed Securities ETF
SCHD,Schwab US Dividend Equity ETF
ACWI,iShares MSCI ACWI ETF
VGK,Vanguard FTSE Europe ETF
XLE,Energy Select Sector SPDR Fund
XLU,Utilities Select Sector SPDR Fund
VHT,Vanguard Healthcare ETF
DGRO,iShares Core Dividend Growth ETF
SCHG,Schwab U.S. Large-Cap Growth ETF
EFAV,iShares Edge MSCI Min Vol EAFE ETF
VBK,Vanguard Small Cap Growth ETF
IGIB,iShares Intermediate-Term Corporate Bond ETF
IWS,iShares Russell Midcap Value ETF
XLC,Communication Services Select Sector SPDR Fund
EWJ,iShares MSCI Japan ETF
MTUM,iShares Edge MSCI USA Momentum Factor ETF
IWV,iShares Russell 3000 ETF
XLI,Industrial Select Sector SPDR Fund
VXF,Vanguard Extended Market VIPERs ETF
FVD,First Trust Value Line Dividend Index
FDN,First Trust Dow Jones Internet Index
IBB,iShares Nasdaq Biotechnology ETF
VOE,Vanguard Mid-Cap Value ETF
VGSH,Vanguard Short-Term Treasury ETF
IUSG,iShares Core S&P U.S. Growth ETF
SPLV,Invesco S&P 500® Low Volatility ETF
IWO,iShares Russell 2000 Growth ETF
SLV,iShares Silver Trust
SCHA,Schwab U.S. Small-Cap ETF
SCZ,iShares MSCI EAFE Small-Cap ETF
SCHP,Schwab U.S. TIPS ETF
GSLC,Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF
VTEB,Vanguard Tax-Exempt Bond Index ETF
SCHZ,Schwab U.S. Aggregate Bond ETF
IWN,iShares Russell 2000 Value ETF
MGK,Vanguard Mega Cap Growth ETF
VOT,Vanguard Mid-Cap Growth ETF
VTIP,Vanguard Short-Term Inflation-Protected Securities ETF
SPYG,SPDR Portfolio S&P 500 Growth ETF
EFG,iShares MSCI EAFE Growth ETF
SPDW,SPDR Portfolio World ex-US ETF
SCHO,Schwab Short-Term U.S. Treasury ETF
ESGU,iShares ESG MSCI USA ETF
SPIB,SPDR Portfolio Intermediate Term Corporate Bond ETF
IHI,iShares U.S. Medical Devices ETF
SPSB,SPDR Portfolio Short Term Corporate Bond ETF
SCHV,Schwab U.S. Large-Cap Value ETF
VGIT,Vanguard Intermediate-Term Treasury ETF
OEF,iShares S&P 100 ETF
VFH,Vanguard Financials ETF
SCHM,Schwab US Mid-Cap ETF
IJK,iShares S&P MidCap 400 Growth ETF
IUSV,iShares Core S&P U.S. Value ETF
SCHE,Schwab Emerging Markets Equity ETF
TQQQ,ProShares UltraPro QQQ
FLOT,iShares Floating Rate Bond ETF
NOBL,ProShares S&P 500 Aristocrats
FNDX,Schwab Fundamental U.S. Large Company Index ETF
NEAR,iShares Short Maturity Bond ETF
EFV,iShares MSCI EAFE Value ETF
HDV,iShares Core High Dividend ETF
VLUE,iShares Edge MSCI USA Value Factor ETF
PGX,Invesco Preferred ETF
ACWV,iShares Edge MSCI Min Vol Global ETF
LMBS,First Trust Low Duration Mortgage Opportunities ETF
USHY,iShares Broad USD High Yield Corporate Bond ETF
MCHI,iShares MSCI China ETF
IYW,iShares U.S. Technology ETF
SPAB,SPDR Portfolio Aggregate Bond ETF
EWZ,iShares MSCI Brazil ETF
SPLG,SPDR Portfolio Large Cap ETF
