,0
2002-12-18,134262.0
2002-12-25,146846.0
2003-01-01,154225.0
2003-01-08,138513.0
2003-01-15,136918.0
2003-01-22,129676.0
2003-01-29,130709.0
2003-02-05,134667.0
2003-02-12,136637.0
2003-02-19,131154.0
2003-02-26,133699.0
2003-03-05,140723.0
2003-03-12,141821.0
2003-03-19,133419.0
2003-03-26,133717.0
2003-04-02,139767.0
2003-04-09,139581.0
2003-04-16,129782.0
2003-04-23,127946.0
2003-04-30,126284.0
2003-05-07,131587.0
2003-05-14,132509.0
2003-05-21,137386.0
2003-05-28,138094.0
2003-06-04,143909.0
2003-06-11,143282.0
2003-06-18,137572.0
2003-06-25,139395.0
2003-07-02,146726.0
2003-07-09,147314.0
2003-07-16,141599.0
2003-07-23,140922.0
2003-07-30,141180.0
2003-08-06,137369.0
2003-08-13,136584.0
2003-08-20,135851.0
2003-08-27,135304.0
2003-09-03,140939.0
2003-09-10,141474.0
2003-09-17,135948.0
2003-09-24,137309.0
2003-10-01,138437.0
2003-10-08,146740.0
2003-10-15,147680.0
2003-10-22,142802.0
2003-10-29,144424.0
2003-11-05,144738.0
2003-11-12,159321.0
2003-11-19,142633.0
2003-11-26,142619.0
2003-12-03,149930.0
2003-12-10,164933.0
2003-12-17,155944.0
2003-12-24,140122.0
2003-12-31,139347.0
2004-01-07,147438.0
2004-01-14,146987.0
2004-01-21,141753.0
2004-01-28,143126.0
2004-02-04,148245.0
2004-02-11,148893.0
2004-02-18,150375.0
2004-02-25,151629.0
2004-03-03,159232.0
2004-03-10,159765.0
2004-03-17,151412.0
2004-03-24,150619.0
2004-03-31,149360.0
2004-04-07,156195.0
2004-04-14,155706.0
2004-04-21,147434.0
2004-04-28,148668.0
2004-05-05,146267.0
2004-05-12,146308.0
2004-05-19,147682.0
2004-05-26,149402.0
2004-06-02,158769.0
2004-06-09,166556.0
2004-06-16,153376.0
2004-06-23,153424.0
2004-06-30,155351.0
2004-07-07,163730.0
2004-07-14,163185.0
2004-07-21,154431.0
2004-07-28,153010.0
2004-08-04,150366.0
2004-08-11,149322.0
2004-08-18,151192.0
2004-08-25,150619.0
2004-09-01,156878.0
2004-09-08,157266.0
2004-09-15,150162.0
2004-09-22,152191.0
2004-09-29,152822.0
2004-10-06,161100.0
2004-10-13,161134.0
2004-10-20,155425.0
2004-10-27,170306.0
2004-11-03,152081.0
2004-11-10,167164.0
2004-11-17,150923.0
2004-11-24,150884.0
2004-12-01,162381.0
2004-12-08,163759.0
2004-12-15,164367.0
2004-12-22,153944.0
2004-12-29,154406.0
2005-01-05,162778.0
2005-01-12,163095.0
2005-01-19,154007.0
2005-01-26,153159.0
2005-02-02,156730.0
2005-02-09,157604.0
2005-02-16,161489.0
2005-02-23,163184.0
2005-03-02,170674.0
2005-03-09,171518.0
2005-03-16,163608.0
2005-03-23,163118.0
2005-03-30,162697.0
2005-04-06,170291.0
2005-04-13,169735.0
2005-04-20,159809.0
2005-04-27,158808.0
2005-05-04,153048.0
2005-05-11,154816.0
2005-05-18,153168.0
2005-05-25,153140.0
2005-06-01,153864.0
2005-06-08,162630.0
2005-06-15,155574.0
2005-06-22,156020.0
2005-06-29,157412.0
2005-07-06,165271.0
2005-07-13,166206.0
2005-07-20,159410.0
2005-07-27,158996.0
2005-08-03,159090.0
2005-08-10,158385.0
2005-08-17,158012.0
2005-08-24,156724.0
2005-08-31,155418.0
2005-09-07,162436.0
2005-09-14,162236.0
2005-09-21,155983.0
2005-09-28,155823.0
2005-10-05,164521.0
2005-10-12,164047.0
2005-10-19,157596.0
2005-10-26,159406.0
2005-11-02,158746.0
2005-11-09,175588.0
2005-11-16,152030.0
2005-11-23,155572.0
2005-11-30,163763.0
2005-12-07,164342.0
2005-12-14,164480.0
2005-12-21,156706.0
2005-12-28,155859.0
2006-01-04,164093.0
2006-01-11,163274.0
2006-01-18,156744.0
2006-01-25,156150.0
2006-02-01,162842.0
2006-02-08,163504.0
2006-02-15,166494.0
2006-02-22,166743.0
2006-03-01,167362.0
2006-03-08,174298.0
2006-03-15,174974.0
2006-03-22,167102.0
2006-03-29,167569.0
2006-04-05,174254.0
2006-04-12,172127.0
2006-04-19,167450.0
2006-04-26,166349.0
2006-05-03,165126.0
2006-05-10,164927.0
2006-05-17,164067.0
2006-05-24,163279.0
2006-05-31,164445.0
2006-06-07,173401.0
2006-06-14,176968.0
2006-06-21,171044.0
2006-06-28,172967.0
2006-07-05,174987.0
2006-07-12,174817.0
2006-07-19,170021.0
2006-07-26,169303.0
2006-08-02,169631.0
2006-08-09,168826.0
