,previousClose,open,dayHigh,dayLow,regularMarketPreviousClose,regularMarketPrice,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,marketCap,volume,navPrice,totalAssets,sharesOutstanding,sharesShort,floatShares,shortRatio,shortPercentOfFloat,fiftyDayAverage,twoHundredDayAverage,Date
SPY,307.35,306.16,306.39,299.42,307.35,306.16,306.16,306.39,299.42,,127961017,299.89,270626439168,,,,,,303.72678,300.87256,2020-06-26
MDY,319.33,317.41,318.09,312.32,319.33,317.41,317.41,318.09,312.32,,1295449,312.89,14447800320,,,,,,319.81088,326.37787,2020-06-26
EWC,25.66,25.52,25.61,25.09,25.66,25.52,25.52,25.61,25.09,,3577331,25.08,1973750784,,,,,,25.405588,26.288395,2020-06-26
EWD,31.19,31.17,31.2,30.7,31.19,31.17,31.17,31.2,30.7,,122217,30.69,166973952,,,,,,29.898235,29.746716,2020-06-26
EWG,27.11,26.97,26.98,26.49,27.11,26.97,26.97,26.98,26.49,,4902695,26.55,1788688896,,,,,,25.986765,25.925838,2020-06-26
EWH,21.68,21.59,21.61,21.46,21.68,21.59,21.59,21.61,21.46,,3566686,21.72,1089348480,,,,,,21.157059,22.185839,2020-06-26
EWI,24.1,24.03,24.06,23.62,24.1,24.03,24.03,24.06,23.62,,267273,23.62,136387136,,,,,,22.86794,24.81387,2020-06-26
EWJ,56.01,55.89,55.93,55.33,56.01,55.89,55.89,55.93,55.33,,6012463,55.84,9537676288,,,,,,55.075294,54.62197,2020-06-26
EWK,16.77,16.41,16.46,16.37,16.77,16.41,16.41,16.46,16.37,,4691,16.43,30961962,,,,,,16.247353,17.097519,2020-06-26
EWL,39.23,39.19,39.2,38.65,39.23,39.19,39.19,39.2,38.65,,1106852,38.76,1502264832,,,,,,38.412647,38.378685,2020-06-26
EWM,25.41,25.13,25.13,24.865,25.41,25.13,25.13,25.13,24.865,,349908,25.14,301674496,,,,,,25.400883,25.404015,2020-06-26
EWN,32.77,32.7963,32.8,32.33,32.77,32.7963,32.7963,32.8,32.33,,316897,32.37,179148000,,,,,,31.044117,30.594307,2020-06-26
EWO,15,14.98,15,14.76,15,14.98,14.98,15,14.76,,12030,14.72,43133176,,,,,,14.853235,16.67781,2020-06-26
EWP,22.65,22.5,22.5,22.045,22.65,22.5,22.5,22.5,22.045,,620543,22.08,448682560,,,,,,21.925882,24.17905,2020-06-26
EWQ,27.43,27.38,27.41,26.91,27.43,27.38,27.38,27.41,26.91,,1137742,26.95,604631104,,,,,,26.20647,27.7227,2020-06-26
EWS,18.86,18.87,18.875,18.605,18.86,18.87,18.87,18.875,18.605,,994834,18.82,418758144,,,,,,18.907942,20.487883,2020-06-26
EWU,25.96,25.94,25.94,25.44,25.96,25.94,25.94,25.94,25.44,,4170386,25.5,2006749184,,,,,,25.963823,28.238977,2020-06-26
EWW,32.49,32.15,32.4,31.515,32.49,32.15,32.15,32.4,31.515,,2344337,31.65,689843968,,,,,,32.152943,37.023212,2020-06-26
EWA,19.11,19.04,19.06,18.75,19.11,19.04,19.04,19.06,18.75,,3185670,19.06,1095746560,,,,,,18.603823,19.417152,2020-06-26
DIA,257.44,255.65,256.0543,249.705,257.44,255.65,255.65,256.0543,249.705,,5331447,250.16,20113395712,,,,,,254.53294,258.56387,2020-06-26
XLB,55.25,55.04,55.14,54.16,55.25,55.04,55.04,55.14,54.16,,8172900,54.49,4835345408,,,,,,55.078236,54.454525,2020-06-26
XLE,37.82,37.55,37.55,36.335,37.82,37.55,37.55,37.55,36.335,,33861103,36.48,10327741440,,,,,,39.59559,44.257664,2020-06-26
XLF,23.59,23.19,23.26,22.52,23.59,23.19,23.19,23.26,22.52,,123959144,22.59,17835794432,,,,,,23.42794,25.705912,2020-06-26
XLI,67.39,67.12,67.37,65.85,67.39,67.12,67.12,67.37,65.85,,21429906,66.17,8454572032,,,,,,67.41941,71.2654,2020-06-26
XLK,103.58,103.38,103.53,101.24,103.58,103.38,103.38,103.53,101.24,,22137768,101.48,29300891648,,,,,,98.98794,92.30883,2020-06-26
XLP,58.32,58.3,58.46,57.08,58.32,58.3,58.3,58.46,57.08,,14476538,57.13,14215917568,,,,,,58.71853,59.883286,2020-06-26
XLU,55.77,55.69,56.32,54.81,55.77,55.69,55.69,56.32,54.81,,28731708,55.21,10885165056,,,,,,58.103825,61.187664,2020-06-26
XLV,98.71,98.53,98.78,97.04,98.71,98.53,98.53,98.78,97.04,,16631435,97.53,26558625792,,,,,,100.38529,98.32788,2020-06-26
XLY,126.72,126.68,126.95,123.54,126.72,126.68,126.68,126.95,123.54,,5748505,123.77,13052563456,,,,,,124.52529,118.52212,2020-06-26
