Ticker,Date,Net Flows*
BFIT,2019-04-02,0.0
BCI,2019-04-02,0.0
BBUS,2019-04-02,0.0
BBJP,2019-04-02,0.0
BBEU,2019-04-02,0.0
BBC,2019-04-02,0.0
BBAX,2019-04-02,0.0
BAR,2019-04-02,0.0
BAL,2019-04-02,0.0
BBSA,2019-04-02,0.0
AWTM,2019-04-02,0.0
ATMP,2019-04-02,0.0
ASHX,2019-04-02,0.0
ASHS,2019-04-02,0.0
ASHR,2019-04-02,0.0
BCD,2019-04-02,0.0
ASET,2019-04-02,0.0
ARKW,2019-04-02,0.0
ARKQ,2019-04-02,0.0
AUSF,2019-04-02,-0.04
ASEA,2019-04-02,-0.01
AGT,2019-04-02,0.0
ACSG,2019-04-02,0.0
AGGP,2019-04-02,0.0
BDRY,2019-04-02,0.0
BCM,2019-04-02,0.0
BBCA,2019-04-02,60.53
AFTY,2019-04-02,0.0
ALFA,2019-04-02,0.0
AFK,2019-04-02,0.0
ADME,2019-04-02,0.0
BBRE,2019-04-02,0.0
ACWX,2019-04-02,0.0
AADR,2019-04-02,0.0
BAB,2019-04-02,0.0
AGGY,2019-04-02,0.0
AFIF,2019-04-02,0.0
AIIQ,2019-04-02,0.0
ARCM,2019-04-02,0.0
AMUB,2019-04-02,0.0
BBP,2019-04-02,0.0
AGQ,2019-04-02,0.0
AGZ,2019-04-02,0.0
ACSI,2019-04-02,0.0
ALTY,2019-04-02,0.01
AMLP,2019-04-02,-18.8
AIRR,2019-04-02,0.0
ACWV,2019-04-02,44.77
AAAU,2019-04-02,0.0
ACWF,2019-04-02,0.0
AGZD,2019-04-02,0.0
AIEQ,2019-04-02,0.0
ACWI,2019-04-02,174.92
AIA,2019-04-02,0.0
ARKF,2019-04-02,0.0
BDCS,2019-04-02,0.0
BBH,2019-04-02,0.0
BATT,2019-04-02,0.0
ARKK,2019-04-02,0.0
AAXJ,2019-04-02,0.0
ALTS,2019-04-02,0.0
AMCA,2019-04-02,0.0
AMJ,2019-04-02,-1.19
ACES,2019-04-02,0.0
