Ticker,Date,Net Flows*
BETZ,2020-01-10,8.19
ADRE,2020-01-10,0.0
AOA,2020-01-10,0.0
AMU,2020-01-10,0.0
ACT,2020-01-10,-1.15
AMCA,2020-01-10,0.0
AAXJ,2020-01-10,0.0
ARKK,2020-01-10,141.84
BATT,2020-01-10,0.0
AOR,2020-01-10,11.52
ARKG,2020-01-10,77.44
AGZ,2020-01-10,18.12
AMZA,2020-01-10,-0.92
AGT,2020-01-10,0.0
AIQ,2020-01-10,0.0
ASEA,2020-01-10,-0.01
BFIT,2020-01-10,-1.0
AMJ,2020-01-10,9.37
AUSF,2020-01-10,1.06
ALTS,2020-01-10,0.0
AGGP,2020-01-10,0.0
AGZD,2020-01-10,-4.7
ACES,2020-01-10,1.88
ACWF,2020-01-10,0.0
AAAU,2020-01-10,6.17
ACWV,2020-01-10,0.0
AFLG,2020-01-10,0.0
AIRR,2020-01-10,0.0
BBIN,2020-01-10,0.0
AMLP,2020-01-10,-21.29
ALTY,2020-01-10,0.0
AGGY,2020-01-10,26.8
BAB,2020-01-10,14.7
ACSG,2020-01-10,0.0
AADR,2020-01-10,0.0
ACIO,2020-01-10,1.26
AFSM,2020-01-10,0.0
AMUB,2020-01-10,0.19
ACWX,2020-01-10,0.0
BBRE,2020-01-10,0.0
ACWI,2020-01-10,-89.19
AIIQ,2020-01-10,0.0
ARCM,2020-01-10,0.0
ADME,2020-01-10,3.23
AFK,2020-01-10,0.0
BDCY,2020-01-10,0.0
AGG,2020-01-10,364.93
AGQ,2020-01-10,2.84
AOM,2020-01-10,-3.98
BDCZ,2020-01-10,0.16
ABEQ,2020-01-10,-0.57
BDRY,2020-01-10,-1.33
ACSI,2020-01-10,0.0
ALFA,2020-01-10,0.0
AVEM,2020-01-10,2.4
AFTY,2020-01-10,0.0
BBCA,2020-01-10,24.88
BCM,2020-01-10,-0.18
AOK,2020-01-10,-9.09
ARB,2020-01-10,-0.0
BAL,2020-01-10,-0.01
ARGT,2020-01-10,-0.01
AFIF,2020-01-10,0.0
ARKF,2020-01-10,15.88
ARKQ,2020-01-10,11.51
BDCS,2020-01-10,0.0
BBJP,2020-01-10,251.16
ARKW,2020-01-10,67.57
ARMR,2020-01-10,0.0
ASET,2020-01-10,0.0
BCD,2020-01-10,0.0
ASHR,2020-01-10,5.85
ANGL,2020-01-10,2.9
ASHS,2020-01-10,0.0
BBH,2020-01-10,-33.09
AWAY,2020-01-10,0.0
ASHX,2020-01-10,0.0
ATMP,2020-01-10,-0.0
AFMC,2020-01-10,0.0
AVDE,2020-01-10,2.36
AVDV,2020-01-10,1.36
AMOM,2020-01-10,0.0
BBP,2020-01-10,0.0
AESR,2020-01-10,0.25
BCI,2020-01-10,0.0
AVUS,2020-01-10,4.52
AVUV,2020-01-10,4.1
AWTM,2020-01-10,0.0
BBSA,2020-01-10,0.0
BAR,2020-01-10,6.13
AIEQ,2020-01-10,-2.1
BAUG,2020-01-10,0.0
BBAX,2020-01-10,49.87
BBC,2020-01-10,0.0
AIA,2020-01-10,0.0
BBEU,2020-01-10,155.68
BBMC,2020-01-10,-1.48
BBUS,2020-01-10,0.0
BDEC,2020-01-10,0.67
BDCX,2020-01-10,0.0
CATH,2020-01-10,0.01
BNOV,2020-01-10,0.0
BKF,2020-01-10,-12.57
BOTZ,2020-01-10,-3.23
BSCR,2020-01-10,0.0
CANE,2020-01-10,0.0
BOUT,2020-01-10,0.01
BGRN,2020-01-10,0.0
BMLP,2020-01-10,0.0
BKLN,2020-01-10,28.22
BNDC,2020-01-10,1.34
BVAL,2020-01-10,0.0
BOSS,2020-01-10,-0.0
BWX,2020-01-10,0.0
BMAY,2020-01-10,0.0
BKSB,2020-01-10,0.0
CBON,2020-01-10,0.0
BSMS,2020-01-10,0.0
BOCT,2020-01-10,0.0
BSCM,2020-01-10,9.8
BLOK,2020-01-10,0.0
BLES,2020-01-10,0.0
BIV,2020-01-10,64.93
CACG,2020-01-10,0.01
BNKZ,2020-01-10,0.0
BOIL,2020-01-10,4.29
BTEC,2020-01-10,2.27
BMAR,2020-01-10,0.0
BSJM,2020-01-10,-2.25
BIZD,2020-01-10,-0.59
BIL,2020-01-10,-192.22
BJUL,2020-01-10,9.33
BSMR,2020-01-10,0.0
BNDW,2020-01-10,4.06
BLV,2020-01-10,99.23
BICK,2020-01-10,-1.34
BSDE,2020-01-10,0.0
BFOR,2020-01-10,0.0
BNKD,2020-01-10,0.0
BNDX,2020-01-10,169.44
BLCN,2020-01-10,0.0
BJUN,2020-01-10,-9.68
BKIE,2020-01-10,-2.85
BNKO,2020-01-10,0.0
BSMP,2020-01-10,0.0
BKMC,2020-01-10,-3.07
BIS,2020-01-10,0.4
BSML,2020-01-10,0.0
BOND,2020-01-10,11.11
BSCS,2020-01-10,0.0
BKSE,2020-01-10,-6.26
BRZU,2020-01-10,-4.2
BKHY,2020-01-10,0.0
