Ticker,Date,Net Flows*
BFIT,2019-01-07,0.0
BCI,2019-01-07,0.0
BBJP,2019-01-07,69.5
BBEU,2019-01-07,39.06
BBC,2019-01-07,0.0
BBAX,2019-01-07,0.0
BAR,2019-01-07,0.0
BAL,2019-01-07,0.22
ATMP,2019-01-07,-1.79
ASHX,2019-01-07,0.0
ASHS,2019-01-07,0.0
ASHR,2019-01-07,0.0
BCD,2019-01-07,0.0
ASET,2019-01-07,0.0
ARKW,2019-01-07,0.0
ARKQ,2019-01-07,0.0
AUSF,2019-01-07,-2.29
ASEA,2019-01-07,0.01
AGT,2019-01-07,0.0
ACSG,2019-01-07,0.0
AGGP,2019-01-07,0.0
BDRY,2019-01-07,0.0
BCM,2019-01-07,-0.03
BBCA,2019-01-07,0.0
AFTY,2019-01-07,0.0
ALFA,2019-01-07,0.0
AFK,2019-01-07,0.0
ADME,2019-01-07,0.0
BBRE,2019-01-07,0.0
ACWX,2019-01-07,76.15
AADR,2019-01-07,0.0
BAB,2019-01-07,0.0
AGGY,2019-01-07,0.0
AFIF,2019-01-07,0.0
AIIQ,2019-01-07,0.0
ARCM,2019-01-07,0.0
AMUB,2019-01-07,0.0
BBP,2019-01-07,0.0
AGQ,2019-01-07,0.0
AGZ,2019-01-07,0.0
ACSI,2019-01-07,0.0
ALTY,2019-01-07,-0.0
AMLP,2019-01-07,0.0
AIRR,2019-01-07,-1.12
ACWV,2019-01-07,40.66
AAAU,2019-01-07,0.0
ACWF,2019-01-07,0.0
AGZD,2019-01-07,0.0
AIEQ,2019-01-07,-1.68
ACWI,2019-01-07,77.81
AIA,2019-01-07,0.0
AMCA,2019-01-07,0.0
AMJ,2019-01-07,3.55
ACES,2019-01-07,2.24
ACT,2019-01-07,0.0
AMU,2019-01-07,0.0
AMZA,2019-01-07,-0.84
ANGL,2019-01-07,0.0
ADRE,2019-01-07,0.0
AOA,2019-01-07,0.0
AOK,2019-01-07,0.0
BDCZ,2019-01-07,0.0
AGG,2019-01-07,106.51
AOM,2019-01-07,-1.8
ARKG,2019-01-07,0.0
AIQ,2019-01-07,-0.0
AOR,2019-01-07,-2.08
ARGT,2019-01-07,-2.46
BDCS,2019-01-07,0.0
BBH,2019-01-07,0.0
BATT,2019-01-07,0.0
AAXJ,2019-01-07,0.0
ALTS,2019-01-07,0.0
ARKK,2019-01-07,0.0
CBON,2019-01-07,0.0
