,country,name,full_name,symbol,currency,class,market
47,australia,FTSE ASFA Australia Small Cap,FTSE ASFA Australia Small Cap,FTFAUSSC,AUD,other_indices,world_indices
48,australia,FTSE Australia,FTSE Australia,FTWIAUSL,AUD,other_indices,world_indices
49,australia,FTSE RAFI Australia 200,FTSE RAFI Australia 200,FTFRAU200,AUD,other_indices,world_indices
50,australia,Australia 50,Investing.com Australia 50,invau50,AUD,other_indices,world_indices
51,australia,DJ Australia Select Dividend 30 TR,DJ Australia Select Dividend 30 TR,DJAUSDT,AUD,other_indices,global_indices
52,australia,FTSE ASFA Australia All Share ex 100,FTSE ASFA Australia All Share ex 100,FTFAUSX,AUD,other_indices,world_indices
53,australia,STOXX True Exposure AU 50% EUR Price,STOXX True Exposure Australia 50% EUR Price,SXTRUAMP,EUR,other_indices,global_indices
54,australia,STOXX True Exposure AU 50% AUD GR,STOXX True Exposure Australia 50% AUD Gross Return,SXTRUAMD,AUD,other_indices,global_indices
55,australia,STOXX True Exposure AU 50% USD GR,STOXX True Exposure Australia 50% USD Gross Return,SXTRUAMH,USD,other_indices,global_indices
56,australia,BNY Mellon Australia Classic ADR,BNY Mellon Australia Classic ADR,BKCAU,USD,additional_indices,global_indices
57,australia,BNY Mellon Australia ADR TR,BNY Mellon Australia ADR Total Return,BKAUT,USD,additional_indices,global_indices
58,australia,BNY Mellon Australia ADR,BNY Mellon Australia ADR,BKAU,USD,additional_indices,global_indices
59,australia,DJ Australia LPT,Dow Jones Australia LPT,DJAULPT,AUD,additional_indices,global_indices
60,australia,S&P/ASX 200 Accumulated,S&P/ASX 200 Accumulated,AXJOA,AUD,additional_indices,global_indices
61,australia,TR Australia 50,Thomson Reuters Australia 50,TRX50AUP,AUD,additional_indices,global_indices
62,australia,TR Australia 10 Years Government Benchmark,Thomson Reuters Australia 10 Years Government Benchmark,TRXVAUGOV10D,AUD,bonds,global_indices
63,australia,BNY Mellon Australia Classic ADR TR,BNY Mellon Australia Classic ADR Total Return,BKCAUT,USD,additional_indices,global_indices
64,australia,TR Australia 2 Years Government Benchmark,Thomson Reuters Australia 2 Years Government Benchmark,TRXVAUGOV2D,AUD,bonds,global_indices
65,australia,TR Australia 7 Years Government Benchmark,Thomson Reuters Australia 7 Years Government Benchmark,TRXVAUGOV7D,AUD,bonds,global_indices
66,australia,TR Australia 3 Years Government Benchmark,Thomson Reuters Australia 3 Years Government Benchmark,TRXVAUGOV3D,AUD,bonds,global_indices
67,australia,NQ Australia Telecommunications,NASDAQ Australia Telecommunications,NQAU6000,USD,primary_sectors,global_indices
68,australia,DJ Australia,Dow Jones Australia,DJAU,AUD,major_indices,global_indices
69,australia,DJ Australia USD,Dow Jones Australia USD,AUDOWD,USD,major_indices,global_indices
70,australia,MSCI Australia AUD,MSCI Australia AUD,MSCIAU,AUD,major_indices,global_indices
71,australia,MSCI Australia USD,MSCI Australia USD,MIAU00000NUS,USD,major_indices,global_indices
72,australia,TR Australia 5 Years Government Benchmark,Thomson Reuters Australia 5 Years Government Benchmark,TRXVAUGOV5D,AUD,bonds,global_indices
73,australia,DJ Australia SelDiv 30 Distr EUR,Dow Jones Australia Select Dividend 30 Distributing EUR,DJAUDID,EUR,other_indices,global_indices
74,australia,DJ Australia Large-Cap,Dow Jones Australia Large-Cap,DJAUL,AUD,other_indices,global_indices
75,australia,DJ Australia Mid-Cap,Dow Jones Australia Mid-Cap,DJAUM,AUD,other_indices,global_indices
76,australia,STOXX True Exposure AU 50% EUR GR,STOXX True Exposure Australia 50% EUR Gross Return,SXTRUAMG,EUR,other_indices,global_indices
77,australia,S&P/ASX 300 Utilities Industry,S&P/ASX 300 Utilities Industry,AXUTKD,AUD,other_indices,world_indices
78,australia,STOXX True Exposure AU 50% AUD Price,STOXX True Exposure Australia 50% AUD Price,SXTRUAMA,AUD,other_indices,global_indices
79,australia,STOXX AU 50 Risk 5% RV EUR,Stoxx Australia 50 Risk 5% RV EUR,SAUR5EG,EUR,other_indices,global_indices
80,australia,STOXX AU 50 Risk 5% RV USD,Stoxx Australia 50 Risk 5% RV USD,SAUR5DG,USD,other_indices,global_indices
81,australia,STOXX AU 50 Risk 20% RV EUR,Stoxx Australia 50 Risk 20% RV EUR,SAUR20EG,EUR,other_indices,global_indices
82,australia,STOXX AU 50 Risk 20% RV USD,Stoxx Australia 50 Risk 20% RV USD,SAUR20DG,USD,other_indices,global_indices
83,australia,STOXX AU 50 Risk 15% RV EUR,Stoxx Australia 50 Risk 15% RV EUR,SAUR15EG,EUR,other_indices,global_indices
84,australia,STOXX AU 50 Risk 15% RV USD,Stoxx Australia 50 Risk 15% RV USD,SAUR15DG,USD,other_indices,global_indices
85,australia,STOXX AU 50 Risk 10% RV EUR,Stoxx Australia 50 Risk 10% RV EUR,SAUR10EG,EUR,other_indices,global_indices
86,australia,STOXX AU 50 Risk 10% RV USD,Stoxx Australia 50 Risk 10% RV USD,SAUR10DG,USD,other_indices,global_indices
87,australia,STOXX AU 50 Daily EUR,Stoxx Australia 50  Daily EUR,SAUODLEG,EUR,other_indices,global_indices
88,australia,STOXX AU 50 Daily EUR,Stoxx Australia 50 Daily EUR,SAUDLEG,EUR,other_indices,global_indices
89,australia,STOXX AU 50 Daily 4 EUR,Stoxx Australia 50 Daily 4 EUR,SAUDL4EG,EUR,other_indices,global_indices
90,australia,FTSE Australia High Dividend Yield,FTSE Australia High Dividend Yield,FTGPVAN013,AUD,other_indices,global_indices
91,australia,DJ Australia SelDiv 30,Dow Jones Australia Select Dividend 30,DJAUSD,AUD,other_indices,global_indices
92,australia,DJ Australia Small-Cap,Dow Jones Australia Small-Cap,DJAUS,AUD,other_indices,global_indices
93,australia,STOXX True Exposure AU 50% USD Price,STOXX True Exposure Australia 50% USD Price,SXTRUAML,USD,other_indices,global_indices
94,australia,S&P/ASX 300 Utilities,S&P/ASX 300 Utilities,AXUKD,AUD,other_indices,world_indices
95,australia,S&P ASX 200 Leverage x2,S&P ASX 200 Leverage x2,AXLD,AUD,other_indices,world_indices
96,australia,S&P/ASX 300 Telecommunication Services Industry,S&P/ASX 300 Telecommunication Services Industry,AXTEKD,AUD,other_indices,world_indices
97,australia,S&P/ASX Midcap 50,S&P/ASX Midcap 50,AXMD,AUD,additional_indices,world_indices
98,australia,FTSE EPRA/NAREIT Australia,FTSE EPRA/NAREIT Australia,FTELAU,AUD,other_indices,world_indices
99,australia,S&P/ASX 100 Industrials,S&P/ASX 100 Industrials,AXTID,AUD,other_indices,world_indices
