Ticker,etfcom,etfdb
FNGU,True,True
FNGZ,True,True
FNI,True,True
FNK,True,True
FNOV,True,True
FNX,True,True
FNY,True,True
FOVL,True,True
FPA,True,True
FPE,True,True
FPEI,True,True
FPX,True,True
FPXE,True,True
FPXI,True,True
FQAL,True,True
FRAK,True,True
FRDM,True,True
FREL,True,True
FRI,True,True
FRLG,True,True
FSEP,True,False
FSMB,True,True
FSMD,True,True
FSTA,True,True
FSZ,True,True
FTA,True,True
FTAG,True,True
FTC,True,True
FTCS,True,True
FTEC,True,True
FTGC,True,True
FTHI,True,True
FTLB,True,True
FTLS,True,True
FTRI,True,True
FTSD,True,True
FTSL,True,True
FTSM,True,True
FTXD,True,True
FTXG,True,True
FTXH,True,True
FTXL,True,True
FTXN,True,True
FTXO,True,True
FTXR,True,True
FUD,True,True
FUE,True,True
FUMB,True,True
FUNL,True,False
FUT,True,True
FUTY,True,True
FV,True,True
FVAL,True,True
FVC,True,True
FVD,True,True
FVL,True,True
FWDB,True,True
FXA,True,True
FXB,True,True
FXC,True,True
FXD,True,True
FXE,True,True
FXF,True,True
FXG,True,True
FXH,True,True
FXI,True,True
FXL,True,True
FXN,True,True
FXO,True,True
FXP,True,True
FXR,True,True
FXU,True,True
FXY,True,True
FXZ,True,True
FYC,True,True
FYLD,True,True
FYT,True,True
FYX,True,True
GAA,True,True
GAL,True,True
GAMR,True,True
GAZ,True,True
GBDV,True,True
GBF,True,True
GBGR,True,True
GBIL,True,True
GBLO,True,True
GBUG,True,True
GBUY,True,True
GCC,True,True
GCEC,True,False
GCOR,True,True
GCOW,True,True
GDAT,True,True
GDMA,True,True
GDNA,True,True
GDVD,True,True
GDX,True,True
GDXJ,True,True
GEM,True,True
GENY,True,True
GERM,True,True
GFIN,True,True
GHYB,True,True
GHYG,True,True
GIGB,True,True
GIGE,True,True
GII,True,True
GLCN,True,True
GLD,True,True
GLDI,True,True
GLDM,True,True
GLIF,True,True
GLIN,True,True
GLL,True,True
GLTR,True,True
GMAN,True,True
GMF,True,True
GMOM,True,True
GNAF,True,True
GNMA,True,True
GNOM,True,True
GNR,True,True
GOAT,True,True
GOAU,True,True
GOEX,True,True
GOVT,True,True
GOVZ,True,True
GQRE,True,True
GREK,True,True
GRES,True,True
GRID,True,True
GRN,True,True
GRNB,True,True
GRU,True,True
GSCE,True,False
GSEE,True,True
GSEU,True,True
GSEW,True,True
GSG,True,True
GSID,True,True
GSIE,True,True
GSIG,True,True
GSJY,True,True
GSLC,True,True
GSP,True,False
GSSC,True,True
GSST,True,True
GSUS,True,True
GSY,True,True
GTIP,True,True
GTO,True,True
GUDB,True,True
GUNR,True,True
GURU,True,True
GUSH,True,True
GVAL,True,True
GVI,True,True
GVIP,True,True
GWX,True,True
GXC,True,True
GXF,True,True
GXG,True,True
GXTG,True,True
GYLD,True,True
HACK,True,True
HAIL,True,True
HAP,True,True
HAUZ,True,True
HAWX,True,True
HCRB,True,True
HDAW,True,True
HDEF,True,True
HDG,True,True
HDGE,True,True
HDIV,True,True
HDLB,True,True
HDMV,True,True
HDV,True,True
HEDJ,True,True
HEEM,True,True
HEFA,True,True
HELX,True,True
HERD,True,True
HERO,True,True
HEWC,True,True
HEWG,True,True
HEWJ,True,True
HEWU,True,True
HEWW,True,True
HEZU,True,True
HFXI,True,True
HIBL,True,True
HIBS,True,True
HIPR,True,True
HIPS,True,True
HJPX,True,True
HLAL,True,True
HMOP,True,True
HNDL,True,True
HOLD,True,True
HOMZ,True,True
HSCZ,True,True
HSMV,True,True
HSRT,True,True
HTAB,True,True
HTEC,True,True
HTRB,True,True
HTUS,True,True
HUSV,True,True
HYD,True,True
HYDB,True,True
HYDW,True,True
HYEM,True,True
HYG,True,True
HYGH,True,True
HYGV,True,True
HYHG,True,True
HYLB,True,True
HYLD,True,True
HYLS,True,True
HYLV,True,True
HYMB,True,True
HYS,True,True
HYTR,True,True
HYUP,True,True
HYXE,False,True
HYXF,True,False
HYXU,True,True
HYZD,True,True
IAGG,True,True
IAI,True,True
IAK,True,True
IAT,True,True
IAU,True,True
IAUF,True,True
IBB,True,True
IBBJ,True,True
IBCE,True,True
IBD,True,True
IBDD,True,True
IBDL,True,True
IBDM,True,True
IBDN,True,True
IBDO,True,True
IBDP,True,True
IBDQ,True,True
IBDR,True,True
IBDS,True,True
IBDT,True,True
IBDU,True,True
IBDV,True,True
IBHA,True,True
IBHB,True,True
IBHC,True,True
IBHD,True,True
IBHE,True,True
IBMJ,True,True
IBMK,True,True
IBML,True,True
IBMM,True,True
IBMN,True,True
IBMO,True,True
IBMP,True,True
IBMQ,True,True
IBND,True,True
IBTA,True,True
IBTB,True,True
IBTD,True,True
IBTE,True,True
IBTF,True,True
IBTG,True,True
IBTH,True,True
IBTI,True,True
IBTJ,True,True
IBTK,True,True
IBUY,True,True
ICF,True,True
ICLN,True,True
ICOL,True,True
ICOW,True,True
ICSH,True,True
ICVT,True,True
IDEV,True,True
IDHD,True,True
IDHQ,True,True
IDIV,True,True
IDLB,True,True
IDLV,True,True
IDMO,True,True
IDNA,True,True
IDOG,True,True
IDRV,True,True
IDU,True,True
IDV,True,True
IDX,True,True
IDY,True,True
IECS,True,True
IEDI,True,True
IEF,True,True
IEFA,True,True
IEFN,True,True
IEHS,True,True
IEI,True,True
IEIH,True,True
IEME,True,True
IEMG,True,True
IEO,True,True
IETC,True,True
IEUR,True,True
IEUS,True,True
IEV,True,True
IEZ,True,True
IFGL,True,True
IFRA,True,True
IFV,True,True
IG,True,True
IGBH,True,True
IGE,True,True
IGEB,True,True
IGF,True,True
IGHG,True,True
IGIB,True,True
IGLB,True,True
IGM,True,True
IGN,True,True
IGOV,True,True
IGRO,True,True
IGSB,True,True
IGV,True,True
IHAK,True,True
IHDG,True,True
IHE,True,True
IHF,True,True
IHI,True,True
IHY,True,True
IIGD,True,True
IIGV,True,True
IJAN,True,True
IJH,True,True
IJJ,True,True
IJK,True,True
IJR,True,True
IJS,True,True
IJT,True,True
IJUL,True,True
ILF,True,True
ILTB,True,True
IMLP,True,True
IMOM,True,True
IMTB,True,True
IMTM,True,True
INCO,True,True
INDA,True,True
INDL,True,True
INDS,True,True
INDY,True,True
INFR,True,True
INKM,True,True
INTF,True,True
IOO,True,True
IPAC,True,True
IPAY,True,True
IPFF,True,True
IPKW,True,True
IPO,True,True
IPOS,True,True
IQDE,True,True
IQDF,True,True
IQDG,True,True
IQDY,True,True
IQIN,True,True
IQLT,True,True
IQM,True,True
IQSI,True,True
IQSU,True,True
IRBO,True,True
ISCF,True,True
ISDX,True,True
ISEM,True,True
ISHG,True,True
ISMD,True,True
ISRA,True,True
ISTB,True,True
ISZE,True,True
ITA,True,True
ITB,True,True
ITEQ,True,True
ITM,True,True
ITOT,True,True
IUS,True,True
IUSB,True,True
IUSG,True,True
IUSS,True,True
IUSV,True,True
IVAL,True,True
IVE,True,True
IVES,True,True
IVLU,True,True
IVOG,True,True
IVOL,True,True
IVOO,True,True
IVOV,True,True
IVV,True,True
IVW,True,True
IWB,True,True
IWC,True,True
IWD,True,True
IWF,True,True
IWL,True,True
IWM,True,True
IWN,True,True
IWO,True,True
IWP,True,True
IWR,True,True
IWS,True,True
IWV,True,True
IWX,True,True
