Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,1.246094,1.253906,1.226563,1.234375,0.015319,198400
1972-06-02,1.234375,1.250000,1.230469,1.246094,0.015465,243200
1972-06-05,1.246094,1.250000,1.222656,1.250000,0.015513,128000
1972-06-06,1.250000,1.257813,1.234375,1.238281,0.015368,476800
1972-06-07,1.234375,1.234375,1.218750,1.218750,0.015126,166400
1972-06-08,1.218750,1.218750,1.210938,1.214844,0.015077,515200
1972-06-09,1.210938,1.210938,1.195313,1.195313,0.014835,112000
1972-06-12,1.195313,1.195313,1.175781,1.175781,0.014592,86400
1972-06-13,1.175781,1.183594,1.140625,1.164063,0.014447,403200
1972-06-14,1.164063,1.175781,1.148438,1.171875,0.014544,217600
1972-06-15,1.171875,1.187500,1.171875,1.179688,0.014641,166400
1972-06-16,1.179688,1.187500,1.156250,1.167969,0.014495,102400
1972-06-19,1.156250,1.156250,1.136719,1.136719,0.014107,1974400
1972-06-20,1.140625,1.156250,1.140625,1.152344,0.014301,115200
1972-06-21,1.152344,1.183594,1.140625,1.179688,0.014641,134400
1972-06-22,1.179688,1.183594,1.140625,1.160156,0.014398,675200
1972-06-23,1.160156,1.171875,1.148438,1.152344,0.014301,236800
1972-06-26,1.140625,1.140625,1.113281,1.125000,0.013962,140800
1972-06-27,1.125000,1.144531,1.113281,1.117188,0.013865,304000
1972-06-28,1.117188,1.125000,1.097656,1.097656,0.013623,329600
1972-06-29,1.097656,1.101563,1.062500,1.078125,0.013380,348800
1972-06-30,1.078125,1.105469,1.078125,1.105469,0.013720,390400
1972-07-03,1.105469,1.117188,1.085938,1.117188,0.013865,278400
1972-07-05,1.117188,1.117188,1.101563,1.101563,0.013671,102400
1972-07-06,1.113281,1.171875,1.113281,1.132813,0.014059,819200
1972-07-07,1.125000,1.125000,1.093750,1.093750,0.013574,332800
1972-07-10,1.093750,1.109375,1.093750,1.093750,0.013574,294400
1972-07-11,1.093750,1.093750,1.066406,1.070313,0.013283,230400
1972-07-12,1.085938,1.105469,1.085938,1.097656,0.013623,438400
1972-07-13,1.089844,1.089844,1.062500,1.062500,0.013186,982400
1972-07-14,1.062500,1.101563,1.062500,1.101563,0.013671,220800
1972-07-17,1.101563,1.105469,1.085938,1.085938,0.013477,198400
1972-07-18,1.082031,1.082031,1.046875,1.078125,0.013380,198400
1972-07-19,1.085938,1.125000,1.085938,1.113281,0.013817,694400
1972-07-20,1.113281,1.148438,1.105469,1.148438,0.014253,268800
1972-07-21,1.148438,1.171875,1.140625,1.171875,0.014544,192000
1972-07-24,1.175781,1.234375,1.175781,1.218750,0.015126,457600
1972-07-25,1.210938,1.210938,1.187500,1.187500,0.014738,380800
1972-07-26,1.175781,1.175781,1.156250,1.156250,0.014350,220800
1972-07-27,1.156250,1.164063,1.148438,1.152344,0.014301,108800
1972-07-28,1.152344,1.171875,1.152344,1.152344,0.014301,144000
1972-07-31,1.152344,1.218750,1.152344,1.218750,0.015126,400000
1972-08-01,1.218750,1.234375,1.203125,1.203125,0.014932,857600
1972-08-02,1.218750,1.230469,1.218750,1.230469,0.015271,284800
1972-08-03,1.230469,1.234375,1.222656,1.234375,0.015319,217600
1972-08-04,1.234375,1.234375,1.218750,1.234375,0.015319,1708800
1972-08-07,1.234375,1.234375,1.218750,1.218750,0.015126,2163200
1972-08-08,1.234375,1.246094,1.234375,1.242188,0.015416,592000
1972-08-09,1.242188,1.250000,1.226563,1.246094,0.015465,374400
1972-08-10,1.246094,1.246094,1.230469,1.230469,0.015271,844800
1972-08-11,1.230469,1.234375,1.222656,1.234375,0.015319,291200
1972-08-14,1.234375,1.246094,1.222656,1.242188,0.015416,1190400
1972-08-15,1.234375,1.234375,1.207031,1.230469,0.015446,275200
1972-08-16,1.226563,1.226563,1.203125,1.203125,0.015103,400000
1972-08-17,1.203125,1.214844,1.203125,1.203125,0.015103,153600
1972-08-18,1.203125,1.214844,1.203125,1.210938,0.015201,323200
1972-08-21,1.207031,1.207031,1.195313,1.195313,0.015004,220800
1972-08-22,1.195313,1.203125,1.187500,1.187500,0.014906,540800
1972-08-23,1.187500,1.199219,1.179688,1.187500,0.014906,409600
